ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
¬збитый €блочный соус,"82,4 к ал","2,6 г","2,4 г","13,4 г"
¬ишневый мусс,"150,7 к ал","5,9 г","0,1 г","33,7 г"
√алушки €блочные,"89,1 к ал","3,2 г","1,6 г","16,5 г"
"√руши, начиненные творогом","65,4 к ал","2,2 г","2,5 г","9,1 г"
√устой шоколадный соус,"316,6 к ал","2,1 г",18 г,"39,1 г"
"ƒесерт ""ѕтичье молоко""","288,9 к ал","5,1 г","13,8 г","38,5 г"
"ƒесерт из сметаны ""–адуга""","185,6 к ал","3,9 г","14,7 г",10 г
ƒесерт молочный (чувашское национальное блюдо),"222,4 к ал","5,1 г","5,5 г","40,7 г"
∆еле из барбариса,"218,3 к ал",0 г,0 г,"58,2 г"
∆еле из вод€ники,"67,4 к ал","2,6 г","0,01 г","15,1 г"
∆еле из кишмиша,247 к ал,0 г,0 г,"65,9 г"
"∆еле из лимонов, апельсинов, мандаринов (лимон)","69,4 к ал","2,6 г","0,03 г","15,6 г"
∆еле из молока,"192,1 к ал","6,3 г","11,1 г","17,9 г"
∆еле из плодов или €год свежих,"69,1 к ал","2,5 г","0,04 г","15,6 г"
∆еле из сиропа плодового или €годного,"10,5 к ал","2,6 г","0,01 г","0,02 г"
∆еле из сливок,249 к ал,"6,4 г",12 г,"30,9 г"
"∆еле из экстракта плодового или €годного, или из сока плодового или €годного натурального (сок)","82,3 к ал","2,7 г","0,1 г","18,9 г"
∆еле лимонное,"87,6 к ал","2,8 г","0,02 г","20,3 г"
∆еле м€сное или рыбное,140 к ал,"21,7 г","5,7 г","0,6 г"
∆еле с плодами свежими и консервированными,"53,7 к ал","2,1 г","0,1 г","11,7 г"
"»зюм или чернослив, или курага в медовом желе (башкирское национальное блюдо)","137,2 к ал","2,8 г","0,2 г","33,2 г"
 лубника с творогом,"77,6 к ал","6,5 г","1,1 г","11,1 г"
" лубничный ""снег""","152,7 к ал","3,2 г","0,2 г","36,8 г"
 лубничный пудинг,"75,6 к ал",2 г,"1,4 г","14,6 г"
 люквенный мусс,71 к ал,"1,2 г","0,08 г","17,5 г"
 люквенный соус,"96,9 к ал","0,6 г","7,5 г","7,1 г"
" оврижка ""ƒиетическа€""","154,7 к ал",5 г,"3,8 г","26,8 г"
 озинаки,"419,4 к ал","2,4 г","19,8 г","61,8 г"
 офейный крем,"181,2 к ал","5,5 г","10,1 г","18,3 г"
 рем ванильный из сметаны,200 к ал,"4,1 г","12,2 г","19,7 г"
" рем ванильный, шоколадный, кофейный","174,2 к ал","4,5 г","10,6 г","16,2 г"
 рем из клубники,"73,4 к ал","2,9 г","1,9 г","11,8 г"
 рем из клюквы и тыквы,"178,7 к ал","3,8 г","6,7 г","27,6 г"
 рем из ревен€,"174,9 к ал","2,1 г","6,6 г","28,5 г"
 рем из ржаного хлеба,"154,5 к ал","4,1 г","5,7 г","23,1 г"
 рем из смородины,"176,4 к ал","3,6 г","3,1 г","35,6 г"
 рем из черники,"119,1 к ал","5,7 г","2,5 г","19,6 г"
 рем твороженный,"135,8 к ал","3,8 г",3 г,"24,8 г"
 рем €годный,"179,6 к ал","3,3 г","11,3 г","17,2 г"
 рем-крокант,"199,8 к ал","4,6 г","6,5 г","32,8 г"
 рем-мокко,"193,9 к ал","5,7 г","8,9 г","24,4 г"
 улага,"92,7 к ал","1,4 г","0,4 г","22,1 г"
Ћантутики,"227,9 к ал","8,4 г","12,1 г","22,7 г"
Ћимонное пирожное,"219,9 к ал","5,3 г","12,2 г","23,8 г"
Ћимонный крем,"177,4 к ал","6,5 г","10,2 г","15,8 г"
Ћимонный снежок,"218,6 к ал","7,6 г","4,8 г","38,7 г"
Ћимонный соус,"149,9 к ал","1,5 г","13,3 г","6,4 г"
Ћимонный соус,"173,1 к ал","4,1 г","14,9 г","6,1 г"
Ћимонный соус,56 к ал,"0,03 г","0,003 г","14,9 г"
Ћимонный творог,"238,7 к ал","9,8 г","13,9 г","19,7 г"
"ћалина или земл€ника с молоком, сметаной или сливками","78,9 к ал","1,8 г","1,9 г","14,6 г"
ћармелад из абрикосов,"198,9 к ал","0,5 г","0,05 г","52,4 г"
ћармелад из абрикосов в кожице,"183,6 к ал","0,5 г","0,06 г","48,3 г"
ћармелад из брусники и €блок,"112,7 к ал","0,5 г","0,3 г","28,7 г"
ћармелад из черники,"57,6 к ал",1 г,"0,6 г",13 г
ћедова€ горка,"270,4 к ал","5,8 г","1,5 г","62,5 г"
"ћороженое ""—юрприз""","194,3 к ал","3,6 г","6,3 г","32,7 г"
ћороженое с плодами или €годами консервированными,"222,9 к ал","4,5 г","15,5 г","17,5 г"
ћусс из растворимого кофе,"104,3 к ал","4,1 г","1,5 г","19,9 г"
ћусс из ревен€,"87,6 к ал","0,9 г","0,07 г","22,2 г"
ћусс из ржаной муки,"94,9 к ал","0,9 г","0,1 г","24,1 г"
ћусс из смородины,"113,3 к ал","2,1 г","0,06 г","27,8 г"
ћусс из тыквы,"91,7 к ал","2,1 г","0,07 г","22,1 г"
ћусс клюквенный,"81,9 к ал","2,3 г","0,06 г","19,3 г"
ћусс лимонный,"115,1 к ал","2,4 г","0,03 г","28,1 г"
ћусс €блочный (на крупе манной),"81,1 к ал","0,9 г","0,2 г","20,3 г"
ќладьи,"201,1 к ал","7,4 г","8,9 г","24,5 г"
ќладьи,"322,2 к ал",10 г,"13,6 г","42,7 г"
ќладьи из моркови,"141,2 к ал",3 г,"9,8 г",11 г
ќладьи из тыквы,"180,2 к ал","4,4 г",13 г,"12,2 г"
ќладьи с изюмом,"334,9 к ал","8,4 г",15 г,"44,4 г"
ќладьи с €блоками,"113,8 к ал","4,3 г","2,6 г","19,5 г"
ќладьи с €блоками,"306,2 к ал","9,2 г","13,3 г","39,8 г"
ќмлет с  €блоками,"121,4 к ал","3,5 г","4,9 г","16,8 г"
ќмлет с €блоками,"177,7 к ал","8,6 г","14,1 г","4,4 г"
ќмлет с €блоками,86 к ал,"3,5 г","5,1 г","6,9 г"
ќреховый крем,"105,9 к ал","5,4 г","4,3 г","12,2 г"
ќрешки творожные по-русски,"271,2 к ал","8,9 г",17 г,"22,1 г"
ѕастила из ежевики,174 к ал,"0,8 г","0,3 г","44,8 г"
ѕастила из калины,"197,5 к ал",0 г,0 г,"52,7 г"
"ѕирожное "" окетка""","418,1 к ал","18,7 г","29,4 г",21 г
ѕлавающие острова,"94,9 к ал","3,8 г","3,1 г","13,8 г"
ѕудинг из ревен€,187 к ал,"4,5 г","6,3 г","29,9 г"
ѕудинг из риса и ревен€,155 к ал,"3,6 г","7,9 г","18,6 г"
ѕудинг из сыра,"184,2 к ал",9 г,"13,2 г","7,9 г"
"ѕудинг из творога, запеченный","312,5 к ал",11 г,"19,7 г","24,3 г"
ѕудинг на сметане,"254,3 к ал","5,8 г","15,3 г","24,9 г"
ѕудинг ореховый,"229,4 к ал","7,1 г","7,7 г","35,1 г"
"ѕудинг рисовый, манный, пшенный","189,6 к ал","3,4 г","5,1 г","34,7 г"
ѕудинг с грушами,"131,2 к ал","3,6 г","3,5 г","22,7 г"
ѕудинг сливочный с орехами,"307,1 к ал","7,6 г",20 г,"25,6 г"
ѕудинг сухарный,"213,3 к ал","6,4 г","5,1 г","37,8 г"
–евень с сахаром,"99,6 к ал","0,5 г","0,08 г","25,8 г"
–евень с сухар€ми и сливками,"100,4 к ал","1,4 г","6,5 г","9,8 г"
—амбук абрикосовый,"115,1 к ал",2 г,"0,07 г","28,4 г"
—амбук из абрикосов,"86,5 к ал","1,7 г","0,06 г","21,1 г"
—амбук €блочный или сливовый,"90,3 к ал","1,8 г","0,2 г","21,6 г"
—гущенка по-русски,"120,4 к ал","2,3 г","2,5 г","23,7 г"
—ельдерей на десерт,0 к ал,0 г,0 г,0 г
—ладкий молочный соус,"84,1 к ал","3,4 г","2,8 г","12,1 г"
—ладкое блюдо из риса и творога,"236,4 к ал","11,1 г","5,7 г","37,6 г"
—ливки или сметана взбитые,"231,3 к ал","2,4 г","17,3 г","17,5 г"
—ливовый соус,"42,4 к ал","0,09 г","0,03 г","11,1 г"
—мородина с медом и миндалем,"191,4 к ал","2,6 г","7,2 г",31 г
"—мородиновый ""снег""","111,5 к ал","1,3 г","0,1 г","28,1 г"
—нежки,"138,2 к ал",4 г,"3,7 г","23,7 г"
—оус абрикосовый,"250,9 к ал","0,5 г","0,06 г","66,2 г"
"—оус земл€ничный или малиновый, или вишневый","244,5 к ал","0,5 г","0,2 г","64,1 г"
—оус из брусники и сыра,"208,5 к ал","9,1 г","16,3 г","6,8 г"
—оус из изюма и миндал€,"144,2 к ал","4,4 г","6,8 г","17,4 г"
—оус из какао,"95,9 к ал","3,9 г","3,5 г",13 г
—оус из крыжовника,35 к ал,"0,4 г","0,2 г","8,5 г"
—оус из €блок и брусники,"174,9 к ал","0,3 г","0,3 г","45,7 г"
—оус клюквенный,"67,3 к ал","0,08 г","0,03 г","17,8 г"
—оус сметанный,382 к ал,"3,3 г","35,3 г","13,7 г"
—оус €блочный,"61,1 к ал","0,1 г","0,09 г",16 г
—уфле,"203,2 к ал","5,4 г","12,2 г","19,1 г"
"—уфле ванильное, шоколадное, ореховое","212,1 к ал","5,6 г","13,5 г","18,2 г"
—ырники с морковью,248 к ал,"9,6 г","14,1 г","22,1 г"
“ворог апельсиновый,"196,8 к ал","6,1 г","11,7 г","17,8 г"
“ворожный соус,"118,8 к ал","8,4 г","7,7 г","4,2 г"
"“орт ""¬ишн€ в сотах""","234,2 к ал","3,5 г",15 г,"22,7 г"
"“орт "" атерина""","381,2 к ал","4,7 г","22,9 г","41,6 г"
"“орт ""ћедовый""","322,7 к ал","3,7 г","16,6 г","42,4 г"
"“орт ""ћужской идеал""","307,8 к ал","6,7 г","8,7 г","54,1 г"
"“орт ""Ќегр""","268,7 к ал","4,4 г","15,4 г","29,9 г"
"“орт ""ѕочти ""ѕрага""","350,9 к ал","4,2 г","20,5 г","39,9 г"
"“орт ""ѕрага""","283,5 к ал","5,9 г","12,6 г",39 г
"“орт ""—нежна€ горка""","150,1 к ал",1 г,"11,4 г","11,6 г"
"“орт ""Ўоколадна€ мазурка""","301,4 к ал","7,6 г","7,6 г",54 г
“орт бисквитный с орехами,"355,3 к ал","11,4 г",15 г,"46,5 г"
“орт «ебраї,"270,8 к ал","8,5 г","12,9 г",32 г
“орт из картофел€ с творогом,169 к ал,"9,1 г","3,9 г","25,9 г"
“орт из тыквы,"212,5 к ал","2,6 г","14,5 г",19 г
“орт картофельный,"190,5 к ал","5,6 г","5,7 г","31,2 г"
“орт печЄночный,200 к ал,"8,1 г","14,5 г",10 г
“орт ѕрагаї,"326,4 к ал","6,5 г","17,3 г","38,7 г"
“орт „ерный принцї,"14,8 к ал","0,2 г","1,1 г","1,2 г"
“ыква с орехами,"111,4 к ал","3,6 г","0,07 г","25,8 г"
“ыква с ревенем,"51,7 к ал","0,8 г","0,09 г","12,8 г"
“ыква с фруктами,"81,1 к ал","1,7 г","2,4 г","14,1 г"
"“ыква, запеченна€ с фруктами, по-ижевски (удмуртское национальное блюдо)","106,8 к ал","1,5 г","3,7 г","17,9 г"
“ыквенный крем,"144,8 к ал",4 г,"11,2 г","7,4 г"
‘аршированные €блоки,"58,1 к ал","3,3 г","1,9 г","7,5 г"
‘руктовый маседуан,"205,3 к ал","0,4 г","0,1 г",54 г
’олодное из абрикосов,127 к ал,"1,8 г","10,8 г",6 г
„ернослив со сливками или сметаной взбитыми,"271,8 к ал","2,5 г","12,6 г","39,6 г"
Ўоколадное мороженое,"268,7 к ал","4,4 г","15,8 г","29,1 г"
Ўоколадный крем,"272,4 к ал","3,8 г","12,7 г","38,1 г"
Ўоколадный пудинг,"192,4 к ал","4,5 г","9,3 г","24,2 г"
Ўоколадный соус,"139,9 к ал","2,8 г","7,7 г",16 г
Ўульо мелна (блины овс€ные - марийское национальное блюдо),"195,4 к ал","5,5 г","10,5 г",21 г
яблоки в гриль€же,"146,1 к ал","0,3 г","2,8 г","31,9 г"
яблоки в желе,"111,1 к ал",3 г,"3,4 г","18,3 г"
яблоки печеные,"65,8 к ал","0,6 г","1,4 г","13,6 г"
яблоки печеные,"169,1 к ал","0,5 г","0,4 г","43,6 г"
яблоки печеные с брусникой,"105,8 к ал","0,3 г","0,3 г","27,2 г"
яблоки со взбитыми сливками,"113,9 к ал","1,9 г",5 г,"16,4 г"
"яблоки, фаршированные морковью","78,4 к ал","0,8 г","2,8 г","13,4 г"
яблочно-сливочный соус,"97,1 к ал","1,2 г","6,1 г","10,1 г"
яблочный крем,"112,8 к ал","0,6 г","4,7 г","18,2 г"
ягодный мусс,167 к ал,"1,2 г","0,8 г","41,2 г"
яичный мусс,"142,3 к ал","5,9 г","3,5 г","23,4 г"
