ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
—алат из свеклы с хреном,"46,8 к ал","1,5 г","0,1 г","10,7 г"
"—алат из свеклы с черносливом, орехами и чесноком",284 к ал,"7,1 г","15,6 г","30,7 г"
—алат из сельди,"204,1 к ал","11,9 г","14,7 г","6,4 г"
—алат из соленых огурцов и брюквы,"66,6 к ал","1,9 г","3,7 г","6,8 г"
—алат из соленых огурцов и редьки,"90,8 к ал","1,2 г","7,7 г","4,3 г"
—алат из соленых огурцов и свеклы,95 к ал,"1,4 г","7,6 г","5,6 г"
—алат из спаржи,"237,5 к ал","2,1 г","23,9 г","3,6 г"
—алат из стручковой фасоли,"215,9 к ал","16,1 г","3,9 г","31,1 г"
—алат из стручковой фасоли,"132,5 к ал","2,8 г","10,5 г","7,2 г"
—алат из сырой моркови и репы,"115,9 к ал","1,5 г","8,8 г","8,2 г"
—алат из сырой моркови м €блоками,"82,2 к ал","1,2 г","4,8 г","9,1 г"
—алат из сырой свеклы,"76,7 к ал","1,2 г","4,7 г",8 г
—алат из сырых овощей,"94,3 к ал","1,6 г","7,6 г","5,3 г"
—алат из сырых овощей с €блоками,58 к ал,"1,1 г","3,3 г","6,4 г"
—алат из творога,"246,4 к ал","12,6 г","19,2 г","6,1 г"
—алат из трески с майонезом,"184,6 к ал","9,9 г",15 г,"2,6 г"
—алат из трески с хреном,"164,8 к ал","8,9 г","10,1 г",10 г
—алат из тыквы,73 к ал,"0,9 г","6,1 г","3,8 г"
—алат из тыквы по-чувашски,"82,9 к ал","1,2 г","0,2 г","20,4 г"
—алат из тыквы с €блоками,"35,7 к ал","0,6 г","0,3 г","8,2 г"
—алат из фасоли,"345,2 к ал","0,9 г","0,9 г","88,9 г"
—алат из фасоли,"336,6 к ал","13,8 г","19,6 г","28,1 г"
—алат из фруктов,"95,2 к ал","0,8 г","4,9 г","12,9 г"
—алат из цветной капусты,"53,2 к ал","1,8 г","3,8 г","3,1 г"
—алат из цветной капусты,"69,1 к ал","1,2 г","5,7 г","3,5 г"
"—алат из цветной капусты, свежих огурцов и помидоров","77,3 к ал",2 г,"5,3 г","5,6 г"
—алат из шампиньонов,"143,1 к ал","3,9 г","12,5 г",4 г
—алат из щавел€,"200,1 к ал","2,3 г","18,8 г","5,8 г"
—алат из €блок и брусники,"78,6 к ал","0,8 г",5 г,"8,1 г"
—алат из €блок и лука,"111,1 к ал",1 г,"8,3 г","8,6 г"
—алат из €блок и моркови  с орехами,"152,6 к ал","4,1 г","6,8 г","19,9 г"
—алат из €блок и помидоров,"67,1 к ал","0,8 г","4,1 г","7,2 г"
—алат из €блок и сливы,"97,9 к ал","2,6 г","2,2 г","18,1 г"
—алат из €блок и тыквы,"36,2 к ал","0,6 г","0,3 г","8,3 г"
—алат из €блок с орехами,"75,8 к ал","1,7 г","0,3 г","17,6 г"
—алат картофельный,"127,9 к ал","2,5 г","6,6 г","15,5 г"
—алат картофельный с грибами и брусникой,"123,6 к ал","4,2 г","9,1 г","6,7 г"
—алат картофельный с грибами и клюквой,"123,6 к ал","4,2 г","9,1 г","6,7 г"
—алат картофельный с €блоками,"109,5 к ал",2 г,"7,9 г","8,2 г"
—алат любительский,"97,3 к ал","1,5 г","5,5 г","11,2 г"
—алат ћуравейник,"235,4 к ал","12,6 г","7,9 г","30,2 г"
—алат м€сной,"205,1 к ал","7,1 г","15,5 г","9,9 г"
—алат м€сной,254 к ал,"11,8 г","20,7 г","5,4 г"
—алат овощной с редькой и €блоками,"157,3 к ал",2 г,"13,5 г","7,4 г"
—алат овощной с €блоками и сладким перцем,"123,8 к ал","1,4 г","10,8 г","5,7 г"
—алат освежающий с редькой,"47,9 к ал","1,7 г","0,3 г","10,3 г"
—алат осенний,"82,1 к ал","1,6 г","6,1 г","5,6 г"
—алат по-берлински,"219,7 к ал","1,9 г","21,6 г","4,8 г"
—алат по-деревенски,"113,7 к ал","2,6 г","7,2 г","10,1 г"
—алат по-коми-перм€цки (из квашеной капусты с м€сом),143 к ал,"10,5 г","10,1 г","2,8 г"
—алат по-французски,"166,6 к ал","2,1 г","14,3 г","7,9 г"
—алат по-чешски,"196,6 к ал","4,2 г","18,4 г","3,8 г"
—алат рыбный,"153,3 к ал","6,4 г","12,4 г","4,4 г"
—алат рыбный,"204,2 к ал","12,1 г","15,7 г","3,9 г"
—алат рыбный с морской капустой,119 к ал,"8,8 г","7,5 г","4,2 г"
—алат с кальмарами,0 к ал,0 г,0 г,0 г
—алат с колбасой,"182,5 к ал",4 г,"14,8 г","8,9 г"
—алат с копченой треской,"122,2 к ал","6,9 г","8,8 г",4 г
—алат с креветками,"250,9 к ал","7,7 г","23,3 г","2,7 г"
—алат с кукурузой,"319,9 к ал","7,4 г","22,5 г","23,4 г"
—алат с маслом и уксусом,"167,2 к ал","1,4 г","15,8 г","5,1 г"
—алат с сардинами,"85,1 к ал","6,1 г","2,6 г",10 г
—алат с сельдереем и творогом,0 к ал,0 г,0 г,0 г
—алат сезонный,"129,8 к ал","2,1 г","10,1 г","8,2 г"
—алат со сметаной и €йцом,"81,4 к ал","1,8 г",7 г,3 г
—алат столичный,"325,2 к ал","15,9 г","27,8 г",3 г
—алат фруктовый со сметанным соусом,"137,7 к ал","1,1 г","7,9 г","16,6 г"
—алат €ичный,"214,2 к ал","7,3 г","19,5 г","2,6 г"
"—алат-коктейль ""Ёкзотик""",0 к ал,0 г,0 г,0 г
—алат-коктейль овощной,"147,4 к ал","1,8 г","12,8 г","6,6 г"
—алат-коктейль рыбный,"217,6 к ал","13,9 г","17,3 г","1,7 г"
—алат-коктейль с ветчиной и сыром,"273,6 к ал","12,4 г","23,8 г","2,6 г"
—алат-коктейль с курицей и фруктами,"245,1 к ал","10,3 г","19,1 г","8,6 г"
—векла в сладком маринаде,"48,6 к ал","0,4 г","0,04 г","12,4 г"
—векла с клюквой,"103,7 к ал","1,5 г","6,2 г","11,2 г"
"—еледка ""под шубой""","209,5 к ал",8 г,"18,2 г","3,7 г"
—ельдь протерта€ с маслом,319 к ал,"16,1 г","26,4 г","4,4 г"
—ыр картофельный,"154,6 к ал","9,1 г","9,6 г","8,5 г"
—ыр слоеный,"196,1 к ал",16 г,"14,2 г","1,1 г"
—ырный салат,"153,4 к ал","5,6 г","11,6 г","7,2 г"
—ырный салат,0 к ал,0 г,0 г,0 г
‘альшивый ќливье,167 к ал,"11,1 г","8,8 г","11,5 г"
„еремша с маслом (национальное блюдо народов —евера),"124,3 к ал","3,4 г","8,7 г","8,6 г"
яблочный салат с сельдереем и помидорами.,0 к ал,0 г,0 г,0 г
яичный салат,"181,7 к ал","9,7 г","15,1 г","1,9 г"
