ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
"»ндейка, только м€со, запечЄнна€",159 к ал,"29,06 г","3,84 г",0 г
"»ндейка, только м€со, консервированное в бульоне",169 к ал,"23,68 г","6,86 г","1,47 г"
"»ндейка, цыпл€та",134 к ал,"22,37 г","4,25 г",0 г
"»ндейка, цыпл€та, белое м€со",108 к ал,"24,18 г","0,49 г",0 г
"»ндейка, цыпл€та, белое м€со с кожей",133 к ал,"23,09 г","3,81 г",0 г
"»ндейка, цыпл€та, белое м€со с кожей, запечЄнные",164 к ал,"28,77 г","4,58 г",0 г
"»ндейка, цыпл€та, белое м€со, запечЄнные",140 к ал,"30,19 г","1,18 г",0 г
"»ндейка, цыпл€та, грудка с кожей",125 к ал,"23,76 г","2,65 г",0 г
"»ндейка, цыпл€та, грудка с кожей, запечЄнна€",153 к ал,"29,07 г","3,2 г",0 г
"»ндейка, цыпл€та, запечЄнные",172 к ал,"28,26 г","5,72 г",0 г
"»ндейка, цыпл€та, крылышки",159 к ал,"20,85 г","7,72 г",0 г
"»ндейка, цыпл€та, крылышки, запечЄнные",207 к ал,"27,65 г","9,87 г",0 г
"»ндейка, цыпл€та, окорочка, м€со и кожа, приготовленные, жареные на открытом огне",170 к ал,"28,49 г","5,41 г",0 г
"»ндейка, цыпл€та, окорочка, м€со и кожа, сырые",118 к ал,"20,13 г","3,57 г",0 г
"»ндейка, цыпл€та, окорочка, только м€со, приготовленное, жареное на открытом огне",159 к ал,"29,19 г","3,77 г",0 г
"»ндейка, цыпл€та, окорочка, только м€со, сырое",108 к ал,"20,35 г","2,37 г",0 г
"»ндейка, цыпл€та, потроха и шейки",133 к ал,"22,15 г","4,25 г","0,05 г"
"»ндейка, цыпл€та, потроха и шейки, запечЄнные",171 к ал,"28,08 г","5,64 г","0,04 г"
"»ндейка, цыпл€та, спинки",151 к ал,"19,89 г","7,27 г",0 г
"»ндейка, цыпл€та, спинки, запечЄнные",204 к ал,"26,15 г","10,24 г",0 г
"»ндейка, цыпл€та, темное м€со",111 к ал,"20,46 г","2,67 г",0 г
"»ндейка, цыпл€та, темное м€со с кожей",129 к ал,"20,06 г","4,79 г",0 г
"»ндейка, цыпл€та, темное м€со с кожей, запечЄнные",182 к ал,"27,69 г","7,06 г",0 г
"»ндейка, цыпл€та, темное м€со, запечЄнные",162 к ал,"28,84 г","4,31 г",0 г
"»ндейка, цыпл€та, только кожа",283 к ал,"16,6 г","23,54 г",0 г
"»ндейка, цыпл€та, только кожа, запечЄнна€",299 к ал,"20,94 г","23,28 г",0 г
"»ндейка, цыпл€та, только м€со",110 к ал,"22,32 г","1,58 г",0 г
"»ндейка, цыпл€та, только м€со, запечЄнное",150 к ал,"29,56 г","2,63 г",0 г
"»ндейка, шейки, только м€со",125 к ал,"16,51 г","6,04 г",0 г
"»ндейка, шейки, только м€со, вареное на медленном огне",162 к ал,"22,48 г","7,36 г",0 г
»ндюшата 1 кат.,182 к ал,"18,5 г","11,7 г","0,6 г"
»ндюшата 2 кат.,134 к ал,"21,7 г",5 г,"0,6 г"
" анадский гусь, грудка, только м€со",133 к ал,"24,31 г","4,02 г",0 г
" отлеты (патти) из м€са индейки, обжаренныев панировке и кл€ре",283 к ал,14 г,18 г,"15,7 г"
" отлеты рубленые, цыпл€та, по 2-22",238 к ал,"15,2 г","13,6 г","13,5 г"
" отлеты, индейка, по 2-22",220 к ал,"18,6 г","12,2 г","8,7 г"
" отлеты, курица, по 2-20",222 к ал,"18,2 г","10,4 г","13,8 г"
 урина€ грудка (филе),113 к ал,"23,6 г","1,9 г","0,4 г"
" урина€ грудка дл€ фахито, замороженна€",135 к ал,"18,56 г","5,73 г","2,23 г"
" уриное филе (грудка), приготовленное в микроволновой печи",252 к ал,"16,35 г","12,89 г","17,56 г"
" уриные лапки, вареные",215 к ал,"19,4 г","14,6 г","0,2 г"
 уриные нагетсы,276 к ал,"13,89 г","18,06 г","14,38 г"
" уриные нагетсы, приготовленные",296 к ал,"15,27 г","19,82 г","14,09 г"
 уриный окорочок,185 к ал,"21,3 г",11 г,"0,1 г"
 уриный фарш,143 к ал,"17,44 г","8,1 г","0,04 г"
" уриный фарш, рубленный, подрум€неный на сковороде",189 к ал,"23,28 г","10,92 г",0 г
 урица 1 кат.,238 к ал,"18,2 г","18,4 г",0 г
 урица 2 кат.,159 к ал,"21,2 г","8,2 г",0 г
 урица бройлерна€,200 к ал,"17,15 г","14,02 г",0 г
" урица бройлерна€, запечЄнна€",259 к ал,"22,27 г","18,21 г",0 г
" урица бройлерна€, только м€со",116 к ал,"20,04 г","3,33 г",0 г
" урица бройлерна€, только м€со, запечЄнна€",134 к ал,"23,3 г","3,87 г",0 г
" урица в собственном соку, консервы",183 к ал,"23,2 г","9,9 г","0,4 г"
" урица жарена€, по 2-16",272 к ал,"23,3 г","19,8 г","0,1 г"
" урица жаренна€ во фритюре, по 2-20",251 к ал,"24,5 г","11,2 г","13,3 г"
" урица отварна€, по 2-4",244 к ал,"22,6 г",17 г,0 г
" урица тушенна€ с овощами, по 2-14",125 к ал,"5,5 г","7,1 г","9,6 г"
" урица-гриль в оригинальной приправке, бройлеры или цыпл€та, грудка, приправленные, приготовленные на гриле, только м€со",137 к ал,28 г,"2,79 г",0 г
" урица-гриль, бедро, м€со с кожей",226 к ал,"22,51 г","15,08 г","0,12 г"
" урица-гриль, бедро, только м€со",193 к ал,"24,09 г","10,74 г",0 г
" урица-гриль, голень с кожей",206 к ал,"25,65 г","11,46 г","0,12 г"
" урица-гриль, голень, только м€со",172 к ал,"27,71 г","6,76 г",0 г
" урица-гриль, грудка с кожей",175 к ал,"26,37 г","7,67 г","0,09 г"
" урица-гриль, грудка, только м€со",144 к ал,"28,04 г","3,57 г",0 г
" урица-гриль, кожа",378 к ал,"15,19 г","35,15 г","0,7 г"
" урица-гриль, крылышки с кожей",257 к ал,"23,42 г","18,04 г","0,6 г"
" урица-гриль, крылышки, только м€со",186 к ал,"28,34 г","7,79 г","0,54 г"
" урица-гриль, спинка с кожей",251 к ал,"20,29 г","18,86 г","0,4 г"
" урица-гриль, спинка, только м€со",212 к ал,"21,85 г","13,87 г","0,31 г"
" урица, белое м€со, запечЄнное",153 к ал,"27,13 г","4,07 г",0 г
" урица, белое м€со, тушеное",213 к ал,"33,04 г","7,98 г",0 г
" урица, запечЄнна€",223 к ал,"23,97 г","13,39 г",0 г
" урица, кожа с окорочка, запечЄнна€",462 к ал,"16,57 г","43,99 г",0 г
" урица, кожа с окорочка, сыра€",440 к ал,"9,58 г","44,23 г","0,79 г"
" урица, кожа с окорочка, тушена€",443 к ал,"14,61 г","42,76 г",0 г
" урица, консервированна€, без бульона",185 к ал,"25,3 г","8,1 г","0,9 г"
" урица, консервированна€, только м€со, в бульоне",133 к ал,"22,41 г","4,69 г","0,23 г"
" урица, консервированна€, только м€со, в воде",129 к ал,"22,02 г","4,58 г",0 г
" урица, консервированна€, только м€со, сухой продукт",162 к ал,"27,52 г","5,72 г",0 г
" урица, крылышки, замороженные, глазированные, с ароматизатором барбекью",211 к ал,"19,67 г","12,67 г","2,74 г"
" урица, крылышки, замороженные, глазированные, с ароматизатором барбекью, разогретые в конвекционной печи",242 к ал,"22,24 г","14,87 г","2,86 г"
" урица, крылышки, замороженные, глазированные, с ароматизатором барбекью, разогретые в микроволновой печи",248 к ал,"25,34 г","13,9 г","2,94 г"
" урица, подготовленна€ к жарке, м€со, кожа, потроха и шейки, сырые",213 к ал,"17,09 г","15,46 г","0,09 г"
" урица, подготовленна€ к жарке, потроха, сырые",127 к ал,"18,14 г","5,04 г","1,14 г"
" урица, подготовленна€ к жарке, только м€со, сырое",111 к ал,"20,33 г","2,7 г",0 г
" урица, подготовленна€ к тушению, м€со и кожа, сырые",258 к ал,"17,55 г","20,33 г",0 г
" урица, подготовленна€ к тушению, м€со, кожа, потроха и шейки, сырые",251 к ал,"17,48 г","19,52 г","0,19 г"
" урица, подготовленна€ к тушению, потроха, сырые",168 к ал,"17,89 г","9,21 г","2,13 г"
" урица, подготовленна€ к тушению, только м€со, сырое",148 к ал,"21,26 г","6,32 г",0 г
" урица, потроха и шейки, запечЄнные",220 к ал,"23,96 г","13,07 г","0,05 г"
" урица, потроха и шейки, тушеные",214 к ал,"24,88 г","11,91 г",0 г
" урица, потроха, вареные на медленном огне",165 к ал,"26,77 г","5,22 г","0,86 г"
" урица, потроха, вареные на медленном огне",194 к ал,"25,73 г","9,3 г","0,11 г"
" урица, приготовленна€ к жарке, белое м€со, только м€со, сырое",109 к ал,"22,2 г","1,63 г",0 г
" урица, приготовленна€ к жарке, темное м€со, только м€со, сырое",113 к ал,"18,74 г","3,61 г",0 г
" урица, приготовленна€ к тушению, белое м€со, только м€со, сырое",137 к ал,"23,1 г","4,21 г",0 г
" урица, приготовленна€ к тушению, темное м€со, только м€со, сырое",157 к ал,"19,7 г","8,12 г",0 г
" урица, темное м€со, запечЄнное",178 к ал,"23,25 г","8,75 г",0 г
" урица, темное м€со, тушеное",258 к ал,"28,14 г","15,28 г",0 г
" урица, только м€со, запечЄнное",167 к ал,"25,01 г","6,63 г",0 г
" урица, только м€со, консервированное в бульоне",165 к ал,"21,77 г","7,95 г",0 г
" урица, только м€со, тушеное",237 к ал,"30,42 г","11,89 г",0 г
" урица, тушена€",285 к ал,"26,88 г","18,87 г",0 г
" урица, цыпл€та-бройлеры",215 к ал,"18,6 г","15,06 г",0 г
" урица, цыпл€та-бройлеры  2 кат.",180 к ал,"19,7 г","11,2 г",0 г
" урица, цыпл€та-бройлеры 1 кат.",220 к ал,"18,7 г","16,1 г",0 г
" урица, цыпл€та-бройлеры, бедро",221 к ал,"16,52 г","16,61 г","0,25 г"
" урица, цыпл€та-бройлеры, бедро, запечЄнное",232 к ал,"23,26 г","14,71 г",0 г
" урица, цыпл€та-бройлеры, бедро, м€со с кожей тушеное",229 к ал,"22,57 г","15,43 г",0 г
" урица, цыпл€та-бройлеры, бедро, обжаренные в кл€ре",277 к ал,"21,61 г","16,53 г","8,78 г"
" урица, цыпл€та-бройлеры, бедро, обжаренные в панировке",262 к ал,"26,75 г","14,98 г","3,08 г"
" урица, цыпл€та-бройлеры, бедро, приготовленное на гриле, оригинальной приправке",233 к ал,"22,93 г","15,7 г","0,02 г"
" урица, цыпл€та-бройлеры, бедро, тЄмное м€со, тушеное",176 к ал,"24,55 г","8,63 г",0 г
" урица, цыпл€та-бройлеры, бедро, только м€со",121 к ал,"19,66 г","4,12 г",0 г
" урица, цыпл€та-бройлеры, бедро, только м€со, запечЄнное",179 к ал,"24,76 г","8,15 г",0 г
" урица, цыпл€та-бройлеры, бедро, только м€со, обжаренное",218 к ал,"28,18 г","10,3 г","1,18 г"
" урица, цыпл€та-бройлеры, бедро, только м€со, приготовленное на гриле",196 к ал,"24,06 г","11,09 г",0 г
" урица, цыпл€та-бройлеры, бедро, только м€со, тушеное",195 к ал,25 г,"9,79 г",0 г
" урица, цыпл€та-бройлеры, бедро, тушеное",232 к ал,"23,26 г","14,74 г",0 г
" урица, цыпл€та-бройлеры, белое м€со",114 к ал,"23,2 г","1,65 г",0 г
" урица, цыпл€та-бройлеры, белое м€со с кожей",186 к ал,"20,27 г","11,07 г",0 г
" урица, цыпл€та-бройлеры, белое м€со с кожей, запечЄнна€",222 к ал,"29,02 г","10,85 г",0 г
" урица, цыпл€та-бройлеры, белое м€со с кожей, обжаренные в панировке",246 к ал,"30,45 г","12,09 г","1,72 г"
" урица, цыпл€та-бройлеры, белое м€со с кожей, приготовленные, обжаренные в кл€ре",277 к ал,"23,55 г","15,44 г","9,5 г"
" урица, цыпл€та-бройлеры, белое м€со с кожей, тушеные",201 к ал,"26,14 г","9,97 г",0 г
" урица, цыпл€та-бройлеры, белое м€со, запечЄнное",173 к ал,"30,91 г","4,51 г",0 г
" урица, цыпл€та-бройлеры, белое м€со, обжаренное",192 к ал,"32,82 г","5,54 г","0,42 г"
" урица, цыпл€та-бройлеры, белое м€со, тушеное",159 к ал,"28,88 г","3,99 г",0 г
" урица, цыпл€та-бройлеры, голень",161 к ал,"18,08 г","9,2 г","0,11 г"
" урица, цыпл€та-бройлеры, голень, запечЄнна€",191 к ал,"23,35 г","10,15 г",0 г
" урица, цыпл€та-бройлеры, голень, обжаренна€ в кл€ре",268 к ал,"21,95 г","15,75 г","7,98 г"
" урица, цыпл€та-бройлеры, голень, обжаренна€ в панировке",245 к ал,"26,96 г","13,72 г","1,53 г"
" урица, цыпл€та-бройлеры, голень, приготовленна€ на гриле",215 к ал,"26,86 г","11,98 г","0,02 г"
" урица, цыпл€та-бройлеры, голень, тЄмное м€со с кожей, тушеное после предварительной обжаркиое",187 к ал,"22,72 г","10,73 г",0 г
" урица, цыпл€та-бройлеры, голень, темное м€со, тушеное после предварительной обжаркиое",149 к ал,"23,93 г","5,95 г",0 г
" урица, цыпл€та-бройлеры, голень, только м€со",116 к ал,"19,41 г","3,71 г",0 г
" урица, цыпл€та-бройлеры, голень, только м€со, запечЄнна€",155 к ал,"24,24 г","5,7 г",0 г
" урица, цыпл€та-бройлеры, голень, только м€со, обжаренное",195 к ал,"28,62 г","8,08 г",0 г
" урица, цыпл€та-бройлеры, голень, только м€со, приготовленное на гриле",176 к ал,"28,74 г","6,81 г",0 г
" урица, цыпл€та-бройлеры, голень, только м€со, тушеное",169 к ал,"27,5 г","5,71 г",0 г
" урица, цыпл€та-бройлеры, голень, тушена€",204 к ал,"25,32 г","10,64 г",0 г
" урица, цыпл€та-бройлеры, грудка с кожей",172 к ал,"20,85 г","9,25 г",0 г
" урица, цыпл€та-бройлеры, грудка с кожей, запечЄнна€",197 к ал,"29,8 г","7,78 г",0 г
" урица, цыпл€та-бройлеры, грудка с кожей, обжаренные в кл€ре",260 к ал,"24,84 г","13,2 г","8,69 г"
" урица, цыпл€та-бройлеры, грудка с кожей, обжаренные в панировке",222 к ал,"31,84 г","8,87 г","1,54 г"
" урица, цыпл€та-бройлеры, грудка с кожей, приготовленна€ на гриле",184 к ал,"27,48 г","8,18 г","0,02 г"
" урица, цыпл€та-бройлеры, грудка с кожей, тушеные",184 к ал,"27,39 г","7,42 г",0 г
" урица, цыпл€та-бройлеры, грудка, только м€со",120 к ал,"22,5 г","2,62 г",0 г
" урица, цыпл€та-бройлеры, грудка, только м€со, жарено-тушена€",157 к ал,"32,06 г","3,24 г",0 г
" урица, цыпл€та-бройлеры, грудка, только м€со, запечЄнна€",165 к ал,"31,02 г","3,57 г",0 г
" урица, цыпл€та-бройлеры, грудка, только м€со, обжаренное",187 к ал,"33,44 г","4,71 г","0,51 г"
" урица, цыпл€та-бройлеры, грудка, только м€со, приготовленна€ на гриле",151 к ал,"30,54 г","3,17 г",0 г
" урица, цыпл€та-бройлеры, грудка, только м€со, тушеное",151 к ал,"28,98 г","3,03 г",0 г
" урица, цыпл€та-бройлеры, запечЄнные",239 к ал,"27,3 г","13,6 г",0 г
" урица, цыпл€та-бройлеры, крылышки",191 к ал,"17,52 г","12,85 г",0 г
" урица, цыпл€та-бройлеры, крылышки, запечЄнные",254 к ал,"23,79 г","16,87 г",0 г
" урица, цыпл€та-бройлеры, крылышки, обжаренные в кл€ре",324 к ал,"19,87 г","21,81 г","10,64 г"
" урица, цыпл€та-бройлеры, крылышки, обжаренные в панировке",321 к ал,"26,11 г","22,16 г","2,29 г"
" урица, цыпл€та-бройлеры, крылышки, приготовленные на гриле",266 к ал,"24,34 г","18,77 г","0,04 г"
" урица, цыпл€та-бройлеры, крылышки, только м€со",126 к ал,"21,97 г","3,54 г",0 г
" урица, цыпл€та-бройлеры, крылышки, только м€со, запечЄнные",203 к ал,"30,46 г","8,13 г",0 г
" урица, цыпл€та-бройлеры, крылышки, только м€со, обжаренное",211 к ал,"30,15 г","9,15 г",0 г
" урица, цыпл€та-бройлеры, крылышки, только м€со, приготовленные на гриле",197 к ал,"27,69 г","9,53 г",0 г
" урица, цыпл€та-бройлеры, крылышки, только м€со, тушеное",181 к ал,"27,18 г","7,18 г",0 г
" урица, цыпл€та-бройлеры, крылышки, тушеные",249 к ал,"22,78 г","16,82 г",0 г
" урица, цыпл€та-бройлеры, обжаренные в кл€ре",289 к ал,"22,54 г","17,35 г","9,12 г"
" урица, цыпл€та-бройлеры, обжаренные в панировке",269 к ал,"28,56 г","14,92 г","3,05 г"
" урица, цыпл€та-бройлеры, окорочка",214 к ал,"16,37 г","15,95 г","0,17 г"
" урица, цыпл€та-бройлеры, окорочка, запечЄнные",184 к ал,"24,03 г","8,99 г",0 г
" урица, цыпл€та-бройлеры, окорочка, обжаренные в кл€ре",273 к ал,"21,77 г","16,17 г","8,42 г"
" урица, цыпл€та-бройлеры, окорочка, обжаренные в панировке",254 к ал,"26,84 г","14,43 г","2,4 г"
" урица, цыпл€та-бройлеры, окорочка, только м€со",120 к ал,"19,16 г","4,22 г",0 г
" урица, цыпл€та-бройлеры, окорочка, только м€со, запечЄнные",174 к ал,"24,22 г","7,8 г",0 г
" урица, цыпл€та-бройлеры, окорочка, только м€со, обжаренное",208 к ал,"28,38 г","9,32 г","0,65 г"
" урица, цыпл€та-бройлеры, окорочка, только м€со, тушеное",185 к ал,"26,26 г","8,06 г",0 г
" урица, цыпл€та-бройлеры, окорочка, тушеные",220 к ал,"24,17 г","12,92 г",0 г
" урица, цыпл€та-бройлеры, отделенный жир",629 к ал,"3,73 г","67,95 г",0 г
" урица, цыпл€та-бройлеры, потроха",124 к ал,"17,88 г","4,47 г","1,8 г"
" урица, цыпл€та-бройлеры, потроха и шейки",213 к ал,"18,33 г","14,83 г","0,13 г"
" урица, цыпл€та-бройлеры, потроха и шейки, запечЄнные",234 к ал,"26,78 г","13,27 г","0,06 г"
" урица, цыпл€та-бройлеры, потроха и шейки, обжаренные в кл€ре",291 к ал,"22,84 г","17,53 г","9,03 г"
" урица, цыпл€та-бройлеры, потроха и шейки, тушеные",216 к ал,"24,49 г","12,37 г","0,06 г"
" урица, цыпл€та-бройлеры, потроха и шейки,, обжаренные в панировке",272 к ал,"28,57 г","15,27 г","3,27 г"
" урица, цыпл€та-бройлеры, потроха, вареные на медленном огне",157 к ал,"27,15 г","4,5 г",0 г
" урица, цыпл€та-бройлеры, потроха, обжаренные",277 к ал,"32,54 г","13,46 г","4,35 г"
" урица, цыпл€та-бройлеры, спинки",319 к ал,"14,05 г","28,74 г",0 г
" урица, цыпл€та-бройлеры, спинки, запечЄнные",300 к ал,"25,95 г","20,97 г",0 г
" урица, цыпл€та-бройлеры, спинки, обжаренные в кл€ре",331 к ал,"21,97 г","21,91 г","10,25 г"
" урица, цыпл€та-бройлеры, спинки, обжаренные в панировке",331 к ал,"27,79 г","20,74 г","6,5 г"
" урица, цыпл€та-бройлеры, спинки, приготовленные на гриле",260 к ал,"23,23 г","18,59 г","0,03 г"
" урица, цыпл€та-бройлеры, спинки, только м€со, запечЄнные",239 к ал,"28,19 г","13,16 г",0 г
" урица, цыпл€та-бройлеры, спинки, только м€со, обжаренное",288 к ал,"29,99 г","15,32 г","5,68 г"
" урица, цыпл€та-бройлеры, спинки, только м€со, приготовленные на гриле",205 к ал,"25,34 г","11,54 г",0 г
" урица, цыпл€та-бройлеры, спинки, только м€со, сырое",137 к ал,"19,56 г","5,92 г",0 г
" урица, цыпл€та-бройлеры, спинки, только м€со, тушеное",209 к ал,"25,31 г","11,19 г",0 г
" урица, цыпл€та-бройлеры, спинки, тушеные",258 к ал,"22,18 г","18,14 г",0 г
" урица, цыпл€та-бройлеры, темное м€со",125 к ал,"20,08 г","4,31 г",0 г
" урица, цыпл€та-бройлеры, темное м€со с кожей",237 к ал,"16,69 г","18,34 г",0 г
" урица, цыпл€та-бройлеры, темное м€со с кожей, запечЄнное",253 к ал,"25,97 г","15,78 г",0 г
" урица, цыпл€та-бройлеры, темное м€со с кожей, обжаренные в кл€ре",298 к ал,"21,85 г","18,64 г","9,38 г"
" урица, цыпл€та-бройлеры, темное м€со с кожей, обжаренные в панировке",285 к ал,"27,22 г","16,91 г","4,08 г"
" урица, цыпл€та-бройлеры, темное м€со с кожей, тушеные",233 к ал,"23,5 г","14,66 г",0 г
" урица, цыпл€та-бройлеры, темное м€со, запечЄнное",205 к ал,"27,37 г","9,73 г",0 г
" урица, цыпл€та-бройлеры, темное м€со, обжаренное",239 к ал,"28,99 г","11,62 г","2,59 г"
" урица, цыпл€та-бройлеры, темное м€со, тушеное",192 к ал,"25,97 г","8,98 г",0 г
" урица, цыпл€та-бройлеры, только кожа",349 к ал,"13,33 г","32,35 г",0 г
" урица, цыпл€та-бройлеры, только кожа, запечЄнна€",454 к ал,"20,36 г","40,68 г",0 г
