ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
"Ѕостонский пирог, готовый",252 к ал,"2,4 г","8,5 г","41,5 г"
Ѕублики простые,276 к ал,"9,1 г","1,1 г","57,1 г"
"Ѕублики, обычные, необогащенные, не содержат пропионат кальци€ (с луком, маком, кунжутом)",275 к ал,"10,5 г","1,6 г","51,1 г"
"Ѕублики, обычные, необогащенные, содержат пропионат кальци€ (с луком, маком, кунжутом)",275 к ал,"10,5 г","1,6 г","51,1 г"
"Ѕублики, обычные,обогащенные, не содержат пропионат кальци€ (с луком, маком, кунжутом)",275 к ал,"10,5 г","1,6 г","51,1 г"
"Ѕублики, украинские с маком",316 к ал,"8,1 г","6,2 г",56 г
Ѕулка с молочной сывороткой,260 к ал,"7,8 г",3 г,"49,2 г"
Ѕулка черкизовска€,286 к ал,"7,9 г","5,5 г","50,1 г"
Ѕулка €рославска€,294 к ал,"7,6 г","5,3 г","53,7 г"
Ѕулки городские,265 к ал,"7,7 г","2,4 г","52,9 г"
Ѕулочка калорийна€,337 к ал,"7,6 г",10 г,"53,8 г"
Ѕулочки молочные,257 к ал,"8,8 г","2,2 г","50,3 г"
Ѕулочки сдобные,339 к ал,"7,9 г","9,4 г","55,5 г"
Ѕулочки столична€ с молочной сывороткой,269 к ал,"8,4 г","2,2 г","53,7 г"
Ѕулочки столичные,269 к ал,"8,4 г","2,2 г","53,7 г"
"¬ареники, по 2-174",172 к ал,12 г,"6,4 г","16,2 г"
"¬атрушка, по 2-194",256 к ал,"11,9 г","6,4 г","37,5 г"
¬атрушки картофельные по 1-246,165 к ал,"6,2 г","7,6 г","17,7 г"
"¬афли, на пахте, замороженные, готовые к выпечке",273 к ал,"6,58 г","9,22 г","38,85 г"
"¬афли, на пахте, замороженные, готовые к выпечке, поджаренные в тостере",309 к ал,"7,42 г","9,49 г","45,79 г"
"¬афли, на пахте, замороженные, готовые к выпечке, разогретые в микроволновке",289 к ал,"6,92 г","9,4 г","41,76 г"
"¬афли, обычные, замороженные, готовые к выпечке",285 к ал,"6,47 г","9,7 г","40,78 г"
"¬афли, обычные, замороженные, готовые к употреблению, разогретые в микроволновке",298 к ал,"6,71 г","9,91 г","43,01 г"
"¬афли, обычные, приготовленные по рецепту",291 к ал,"7,9 г","14,1 г","32,9 г"
"¬афли, с шоколадной крошкой, замороженные, готовые к выпечке",297 к ал,"5,8 г","10,1 г","44,18 г"
"√алушки, по 1-126",106 к ал,"3,9 г",1 г,"20,3 г"
"√ренки, обычные",407 к ал,"11,9 г","6,6 г","68,4 г"
"√ренки, приправленные специ€ми",465 к ал,"10,8 г","18,3 г","58,5 г"
"∆ареный хлеб, приготовленный на сале (јпачи)",309 к ал,"8,38 г","10,14 г","44,31 г"
"»рландский содовый хлеб, приготовленный по рецепту",290 к ал,"6,6 г",5 г,"53,4 г"
»сскуственна€ суха€ смесь дл€ черничных кексов,407 к ал,"4,7 г","8,7 г","77,45 г"
»таль€нский хлеб,259 к ал,"9,49 г","2,73 г","46,01 г"
 лейковина сыра€ из муки 1 сорта,135 к ал,"26,2 г","0,3 г","7,4 г"
 офейный пирог с сыром,339 к ал,7 г,"15,2 г","43,3 г"
" офейный пирог, с корицей и крошкой, промышленного изготовлени€, необогащенный",418 к ал,"6,8 г","23,3 г","44,7 г"
" офейный пирог, с корицей и крошкой, промышленного изготовлени€, обогащенный",418 к ал,"6,8 г","23,3 г","44,7 г"
" офейный пирог, с корицей и крошкой, суха€ смесь, подготовленный",318 к ал,"5,5 г","9,6 г","51,6 г"
" офейный пирог, с кремом и шоколадной глазурью",331 к ал,5 г,"10,8 г","51,8 г"
" офейный пирог, фруктовый",311 к ал,"5,2 г","10,2 г",49 г
 рекеры с отруб€ми,416 к ал,"9,2 г","14,1 г","63,2 г"
 рекеры солЄные из цельной пшеницы (включа€ другие злаки),398 к ал,"7,14 г","10,71 г","61,55 г"
" рекеры, из цельной пшеницы",427 к ал,"10,58 г","14,13 г","59,25 г"
" рекеры, из цельной пшеницы, с низким содерж. соли",443 к ал,"8,8 г","17,2 г","58,1 г"
" рекеры, из цельной пшеницы, с пониж. содерж. жира, 7.6%",416 к ал,"11,34 г","7,59 г","64,62 г"
" рекеры, молочные",446 к ал,"7,6 г","13,77 г","68,33 г"
" рекеры, пшеничные, обычные",455 к ал,"7,3 г","16,4 г","63,83 г"
" рекеры, пшеничные, с низким содерж. соли",473 к ал,"8,6 г","20,6 г","60,4 г"
" рекеры, пшеничные, с пониж. содерж. жира, 13.37%",444 к ал,"9,34 г","13,37 г","68,12 г"
" рекеры, сырные, обычные",489 к ал,"10,93 г","22,74 г","57,12 г"
" рекеры, сырные, с низким содерж. соды",503 к ал,"10,1 г","25,3 г","55,8 г"
" рекеры, сырные, типа сэндвича, с начинкой из арахисового масла",496 к ал,"12,41 г","25,12 г","53,34 г"
" рекеры, сырные, типа сэндвича, с сырной начинкой",490 к ал,"8,92 г","24,41 г","56,86 г"
" руассаны, сливочные",406 к ал,"8,2 г",21 г,"43,2 г"
" руассаны, сырные",414 к ал,"9,2 г","20,9 г","44,4 г"
" руассаны, €блочные",254 к ал,"7,4 г","8,7 г","34,6 г"
" улеб€ка с рыбой и рисом, по 2-196",206 к ал,"10,5 г","4,1 г","31,8 г"
Ћаваш арм€нский тонкий (пшенична€ мука 1 сорта),277 к ал,"9,1 г","1,1 г","56,8 г"
"Ћаваш белый, обогащенный",275 к ал,"9,1 г","1,2 г","53,5 г"
"Ћаваш, из цельного зерна",262 к ал,"9,8 г","1,71 г","49,79 г"
"ћаффины кукурузные, промышленного изготовлени€",305 к ал,"5,9 г","8,4 г","47,6 г"
"ћаффины с черникой, промышленного изготовлени€, (включа€ мини-маффины)",375 к ал,"4,49 г","16,07 г","51,9 г"
"ћаффины с черникой, промышленного изготовлени€, маложирные, 4.22% жира",255 к ал,"4,23 г","4,22 г","45,85 г"
"ћаффины, кукурузные, дл€ приготовлени€ в тостере",346 к ал,"5,3 г","11,3 г","56,3 г"
"ћаффины, кукурузные, суха€ смесь, приготовленные",321 к ал,"7,4 г","10,2 г","46,7 г"
"ћаффины, с овс€ными отруб€ми",270 к ал,7 г,"7,4 г","43,7 г"
"ћаффины, с пшеничными отруб€ми, с изюмом, поджаренные в тостере",313 к ал,"5,5 г","9,4 г","47,3 г"
"ћаффины, с пшеничными отруб€ми, суха€ смесь",396 к ал,"7,1 г",12 г,73 г
"ћаффины, с черникой, дл€ приготовлени€ в тостере",313 к ал,"4,6 г","9,5 г","51,5 г"
"ћаффины, с черникой, дл€ приготовлени€ в тостере, поджаренные в тостере",333 к ал,"4,9 г","10,1 г","54,8 г"
"ћаффины, с черникой, суха€ смесь",293 к ал,"3,48 г","3,25 г","59,6 г"
"ћорковный пирог, суха€ смесь, пудинг",415 к ал,"5,1 г","9,8 г","79,2 г"
ќвс€ный хлеб низкокалорийный,210 к ал,"7,6 г","3,5 г","43,3 г"
ќвс€ный хлеб с отруб€ми,236 к ал,"10,4 г","4,4 г","35,3 г"
"ќвс€ный хлеб с отруб€ми, низкокалорийный",201 к ал,8 г,"3,2 г","29,3 г"
"ќвс€ный хлеб с отруб€ми, низкокалорийный, тосты",239 к ал,"9,5 г","3,8 г","34,9 г"
"ќвс€ный хлеб с отруб€ми, тосты",259 к ал,"11,4 г","4,8 г","38,8 г"
"ќвс€ный хлеб, тосты",292 к ал,"9,2 г","4,8 г","48,4 г"
ќладьи из тыквы по 1-238,158 к ал,4 г,7 г,"19,8 г"
"ќладьи, по 2-176",213 к ал,"6,5 г","6,6 г","31,6 г"
"ѕампушки, с чесноком, по 1-124",299 к ал,"8,6 г","3,3 г","58,8 г"
ѕанировочные сухари,395 к ал,"13,35 г","5,3 г","67,48 г"
ѕанировочные сухари с приправами,383 к ал,"14,13 г","5,48 г","63,59 г"
"ѕаратха, индийска€ лепЄшка из цельнозерновой пшеничной муки",326 к ал,"6,36 г","13,2 г","35,75 г"
"ѕечень€, дамские пальчики, без лимонного сока и кожуры",363 к ал,"10,6 г","9,1 г","58,7 г"
"ѕечень€, дамские пальчики, с лимонным соком и кожурой",365 к ал,"10,6 г","9,1 г","58,7 г"
"ѕечень€, крекеры, в шоколадной глазури",500 к ал,4 г,"25,8 г","64,58 г"
"ѕечень€, крекеры, обычные или медовые, (включа€€ с корицей)",430 к ал,"6,69 г","10,6 г","74,26 г"
"ѕечень€, с шоколадной крошкой, суха€ смесь",497 к ал,"4,6 г","25,2 г","66,1 г"
"ѕечень€, шоколадные вафли",433 к ал,"6,6 г","14,2 г","69,3 г"
"ѕирог белый, приготовленный по рецепту с кокосовой глазурью",356 к ал,"4,4 г","10,3 г","62,2 г"
"ѕирог вишневый, промышленного изготовлени€",260 к ал,2 г,11 г,39 г
"ѕирог на завтрак, с пониженным содержанием жира",372 к ал,"3,99 г","5,99 г","75,3 г"
"ѕирог с заварным кремом из кокоса, промышленного изготовлени€",260 к ал,"5,9 г","13,2 г","28,4 г"
"ѕирог с кокосовым кремом, промышленного изготовлени€",298 к ал,"2,1 г","16,6 г",36 г
"ѕирог с черникой, промышленного изготовлени€",232 к ал,"1,8 г",10 г,"33,9 г"
"ѕирог с шоколадным кремом, промышленного изготовлени€",304 к ал,"2,6 г","19,4 г","33,6 г"
"ѕирог с €ичным заварным кремом, промышленного изготовлени€",210 к ал,"5,5 г","11,6 г","19,2 г"
"ѕирог тыквенный, промышленного изготовлени€",243 к ал,"3,9 г","9,75 г","33,03 г"
"ѕирог €блочный, промышленного изготовлени€, из обогащенной муки",237 к ал,"1,9 г",11 г,"32,4 г"
"ѕирог, белый, приготовленный по рецепту, без глазури",357 к ал,"5,4 г","12,4 г","56,4 г"
"ѕирог, белый, суха€ смесь, диетический (с запахом лимона)",397 к ал,3 г,"8,4 г","79,6 г"
"ѕирог, белый, суха€ смесь, пудинг, необогащенный",423 к ал,"3,9 г","9,5 г","80,3 г"
"ѕирог, белый, суха€ смесь, пудинг, обогащенный",423 к ал,"3,9 г","9,5 г","80,2 г"
"ѕирог, вишнева€ сливочна€ помадка с шоколадной глазурью",264 к ал,"2,4 г","12,5 г","37,5 г"
"ѕирог, вишневый, приготовленный по рецепту",270 к ал,"2,8 г","12,2 г","38,5 г"
"ѕирог, воздушный, приготовленный по рецепту",297 к ал,"7,3 г","4,3 г","57,7 г"
"ѕирог, воздушный, промышленного изготовлени€",290 к ал,"5,4 г","2,7 г","60,5 г"
"ѕирог, желтый, приготовленный по рецепту, без глазури",361 к ал,"5,3 г","14,6 г","52,3 г"
"ѕирог, желтый, промышленного изготовлени€, с ванильной глазурью",391 к ал,"2,99 г","17,91 г","55,9 г"
"ѕирог, желтый, промышленного изготовлени€, с шоколадной глазурью",379 к ал,"3,16 г","17,75 г","53,86 г"
"ѕирог, желтый, суха€ смесь, легкий",404 к ал,"4,7 г","5,5 г","82,8 г"
"ѕирог, желтый, суха€ смесь, пудинг",423 к ал,4 г,"9,8 г","79,3 г"
"ѕирог, желтый, суха€ смесь, стандартный, необогащенный",432 к ал,"4,4 г","11,6 г",77 г
"ѕирог, желтый, суха€ смесь, стандартный, обогащенный",374 к ал,"3,7 г","3,5 г","80,72 г"
"ѕирог, из песочного теста, бисквит, приготовленный по рецепту",346 к ал,"6,1 г","14,2 г","48,5 г"
"ѕирог, имбирный, приготовленный по рецепту",356 к ал,"3,9 г","16,4 г","49,2 г"
"ѕирог, имбирный, суха€ смесь",437 к ал,"4,4 г","13,8 г","72,9 г"
"ѕирог, мини, с кремом и шоколадной глазурью",399 к ал,"3,63 г","15,93 г","57,11 г"
"ѕирог, мини, с кремом, воздушный",374 к ал,"3,47 г","11,54 г","63,03 г"
"ѕирог, перевернутый ананас, приготовленный по рецепту",319 к ал,"3,5 г","12,1 г","49,7 г"
"ѕирог, персиковый",224 к ал,"1,9 г",10 г,"32,1 г"
"ѕирог, с ванильным кремом, приготовленный по рецепту",278 к ал,"4,8 г","14,4 г",32 г
"ѕирог, с черникой, приготовленный по рецепту",245 к ал,"2,7 г","11,9 г","33,5 г"
"ѕирог, тыквенный, приготовленный по рецепту",204 к ал,"4,5 г","9,3 г","26,4 г"
"ѕирог, фруктовый, промышленного изготовлени€",324 к ал,"2,9 г","9,1 г","57,9 г"
"ѕирог, фунтовый (мука, масло и сахар в равных пропорци€х), промышленного изготовлени€, без жира",283 к ал,"5,4 г","1,2 г","59,9 г"
"ѕирог, фунтовый (мука, масло и сахар в равных пропорци€х), промышленного изготовлени€, исключа€ все сливочные, необогащенный",389 к ал,"5,2 г","17,9 г","51,5 г"
"ѕирог, фунтовый (мука, масло и сахар в равных пропорци€х), промышленого изготовлени€, с маслом",353 к ал,5 г,"13,96 г","53,04 г"
"ѕирог, фунтовый, (мука, масло и сахар в равных пропорци€х), промышленного изготовлени€, без масла, обогащенный",389 к ал,"5,2 г","17,9 г","51,5 г"
"ѕирог, €блочный, приготовленный по рецепту",265 к ал,"2,4 г","12,5 г","37,1 г"
"ѕирожки жареные с капустой, по 2-188",230 к ал,5 г,"10,5 г","28,8 г"
ѕирожки картофельные с морковью по 1-246,124 к ал,"2,4 г","4,2 г","18,9 г"
"ѕирожки печеные простые, по 2-188",250 к ал,"12,7 г","7,3 г","33,2 г"
ѕластинки из цельно-молотой пшеницы,342 к ал,"12,7 г","2,4 г","67,3 г"
"ѕончики, на дрожжах, глазированные, необогащенные (включа€ медовые булочки)",403 к ал,"6,4 г","22,8 г","43,1 г"
"ѕончики, на дрожжах, глазированные, обогащенные (включа€ медовые булочки)",421 к ал,"6,14 г","22,7 г","45,83 г"
"ѕончики, на дрожжах, с желейной начинкой",340 к ал,"5,9 г","18,7 г","38,1 г"
"ѕончики, на дрожжах, с кремовой начинкой",361 к ал,"6,4 г","24,5 г","29,2 г"
ѕшеничный хлеб,274 к ал,"10,67 г","4,53 г","43,54 г"
ѕшеничный хлеб из пророщенных зерен,188 к ал,"13,16 г",0 г,"28,58 г"
"ѕшеничный хлеб из пророщенных зерен, тосты",205 к ал,"14,3 г",0 г,"31,12 г"
ѕшеничный хлеб низкокалорийный,217 к ал,"13,32 г","2,92 г","31,37 г"
ѕшеничный хлеб с отруб€ми,248 к ал,"8,8 г","3,4 г","43,8 г"
"ѕшеничный хлеб, тосты",313 к ал,"12,96 г","4,27 г","51,07 г"
"–азрыхлитель пищевой, винный камень (смесь тартрата кали€ E336i с битартратом кали€ E336ii)",258 к ал,0 г,0 г,"61,3 г"
"–азрыхлитель пищевой, дрожжи, пекарные, активные, сухие",325 к ал,"40,44 г","7,61 г","14,32 г"
"–азрыхлитель пищевой, дрожжи, пекарные, прессованные",105 к ал,"8,4 г","1,9 г",10 г
"–азрыхлитель пищевой, пекарный порошок (замен€ющий дрожжи), двойного действи€, straight phosphate",51 к ал,"0,1 г",0 г,"23,9 г"
"–азрыхлитель пищевой, пекарный порошок (замен€ющий дрожжи), двойного действи€, натрий, сульфат алюмини€ (≈-520)",53 к ал,0 г,0 г,"27,5 г"
"–азрыхлитель пищевой, пекарный порошок (замен€ющий дрожжи), с низким содерж. натри€",97 к ал,"0,1 г","0,4 г","44,7 г"
–жаной хлеб,259 к ал,"8,5 г","3,3 г","42,5 г"
"–жаной хлеб, низкокалорийный",203 к ал,"9,1 г","2,9 г","28,5 г"
"–жаной хлеб, тосты",284 к ал,"9,4 г","3,6 г","46,7 г"
–исовый хлеб с отруб€ми,243 к ал,"8,9 г","4,6 г","38,6 г"
"–исовый хлеб с отруб€ми, тосты",264 к ал,"9,7 г",5 г,42 г
–огалики с изюмом и корицей,274 к ал,"9,8 г","1,7 г","52,9 г"
–огалики с изюмом и корицей жареные,294 к ал,"10,6 г","1,8 г","56,8 г"
–огалики с овс€ными отруб€ми,255 к ал,"10,7 г","1,2 г","49,7 г"
"–огалики, простые, жареные, обогащенные, с пропионатом кальци€ (включает лук, мак, сезам),",287 к ал,"11,14 г","1,43 г","55,59 г"
"–огалики, простые, обогащенные пропионатом кальци€ (включает лук, мак, сезам)",257 к ал,"10,02 г","1,62 г","50,5 г"
–ожки к чаю,312 к ал,"8,4 г","5,6 г","56,8 г"
–ожки обсыпные сдобные,314 к ал,"7,8 г","5,6 г","57,2 г"
—доба выборгска€ с маком,304 к ал,"7,5 г","5,2 г","55,5 г"
—доба выборгска€ с повидлом,293 к ал,"6,5 г","4,2 г","57,1 г"
—доба обыкновенна€,301 к ал,"8,1 г","5,3 г","54,9 г"
"—ладка€ выпечка с фруктами и орехами, которую ед€т на –ождество, на дрожжах",367 к ал,"9,42 г","11,58 г","54,08 г"
"—ладкие рулетики с корицей и изюмом, промышленного изготовлени€",372 к ал,"6,2 г","16,4 г","48,5 г"
—лойка,558 к ал,"7,4 г","38,5 г","44,2 г"
"—лойка, замороженна€, готова€ к выпеканию",551 к ал,"7,3 г","38,1 г","43,6 г"
"—ода пищева€, разрыхлитель дл€ выпечки",0 к ал,0 г,0 г,0 г
—оломка сладка€,372 к ал,"9,1 г","6,1 г","69,3 г"
—ухари армейские из обойной муки,304 к ал,"12,3 г","2,3 г","60,1 г"
"—ухари армейские, пшеничные 1 сорта",330 к ал,"11,2 г","1,4 г","67,5 г"
"—ухари армейские, пшеничные 2 сорта",323 к ал,"12,3 г","1,9 г","63,5 г"
"—ухари армейские, ржано-пшеничные",311 к ал,12 г,"2,1 г","58,1 г"
"—ухари армейские, ржаные",294 к ал,"11,3 г",2 г,"56,4 г"
—ухари ванильные из пшеничной муки высшего сорта,407 к ал,"8,6 г","11,4 г","66,8 г"
—ухари горчичные из пшеничной муки высшего сорта,386 к ал,9 г,"9,5 г","65,4 г"
—ухари дорожные из пшеничной муки 1 сорта,341 к ал,"10,9 г","1,5 г","69,4 г"
—ухари лимонные из пшеничной муки высшего сорта,388 к ал,"9,5 г","8,5 г","67,5 г"
—ухари московские из пшеничной муки 1 сорта,360 к ал,"9,7 г",5 г,68 г
—ухари сливочные,399 к ал,"8,5 г","10,8 г","66,7 г"
—ухари украинские из пшеничной муки высшего сорта,385 к ал,9 г,"7,9 г","68,6 г"
—ушки простые из муки 1 сорта,331 к ал,"10,9 г","1,3 г","68,8 г"
—ушки простые из муки в/с,339 к ал,"10,7 г","1,2 г","71,2 г"
"—ырный пирог, приготовленный из сухой смеси, не выпечной",274 к ал,"5,5 г","12,7 г","33,6 г"
"—ырный пирог, промышленого изготовлени€",321 к ал,"5,5 г","22,5 г","25,1 г"
"“еннис-хлеб, обыкновенный (јпачи)",258 к ал,9 г,"1,05 г","50,66 г"
"‘ранцузские тосты, замороженные, готовые к выпечке",213 к ал,"7,4 г","6,1 г",31 г
’леб белый,266 к ал,"8,85 г","3,33 г","46,72 г"
"’леб белый, приготовленный по рецепту, из маложирного (2%-ым) молока",285 к ал,"7,9 г","5,7 г","47,6 г"
"’леб белый, приготовленный по рецепту, сделанный из обезжиренного сухого молока",274 к ал,"7,7 г","2,6 г","51,6 г"
"’леб белый, тосты",290 к ал,9 г,4 г,"51,6 г"
’леб из грубой непросе€нной ржаной муки,250 к ал,"8,7 г","3,1 г",41 г
"’леб из кукурузной муки, приготовленный из сухой смеси",330 к ал,"6,59 г","9,58 г","52,16 г"
"’леб из кукурузной муки, приготовленный по рецепту, из маложирного (2%-ым) молока",266 к ал,"6,7 г","7,1 г","43,5 г"
"’леб из кукурузы, суха€ смесь, необогащенна€ (содержит смесь дл€ кукурузных кексов)",418 к ал,7 г,"12,2 г",63 г
’леб из овс€ный хлеб,269 к ал,"8,4 г","4,4 г","44,5 г"
’леб из пшеничных зародышей,188 к ал,"13,16 г",0 г,"28,58 г"
’леб из смеси злаков (цельнозерновой),265 к ал,"13,36 г","4,23 г","35,94 г"
"’леб из смеси злаков, тосты (цельнозерновой)",288 к ал,"14,52 г","4,6 г","39,01 г"
’леб из цельного зерна,252 к ал,"12,45 г","3,5 г","36,71 г"
"’леб из цельного зерна, приготовленный по рецепту",278 к ал,"8,4 г","5,4 г","45,4 г"
"’леб из цельного зерна, тосты",306 к ал,"16,27 г","4,07 г","43,66 г"
’леб пшеничный зерновой (мука в/с и зерно дробленое),228 к ал,"8,6 г","1,4 г","45,1 г"
’леб пшеничный из муки 1 сорта,235 к ал,"7,9 г",1 г,"48,3 г"
’леб пшеничный из муки 2 сорта,228 к ал,"8,6 г","1,3 г","45,2 г"
’леб пшеничный из муки высшего сорта,235 к ал,"7,6 г","0,8 г","49,2 г"
’леб пшеничный из обойной муки,208 к ал,8 г,"1,5 г","40,1 г"
’леб пшеничный пал€ница (мука 1 сорта),243 к ал,"8,3 г",1 г,"49,9 г"
’леб пшеничный соловецкий (мука 1 и 2 сорта),237 к ал,"8,3 г","1,2 г","47,9 г"
’леб ржано-пшеничный бородинский (мука ржана€ обойна€ и пшенична€ 2 сорта),201 к ал,"6,8 г","1,3 г","39,8 г"
’леб ржано-пшеничный рижский (мука ржана€ се€на€ и пшенична€ 1 сорта),232 к ал,"5,6 г","1,1 г","49,4 г"
’леб ржано-пшеничный столовый (ржана€ обдирна€ и пшенична€ 2 сорта),201 к ал,"7,7 г","1,4 г","37,7 г"
’леб ржано-пшеничный украинский (мука ржана€ обдирна€ и пшенична€ обойна€),198 к ал,"6,6 г","1,2 г","39,6 г"
’леб ржаной из обдирной муки,197 к ал,"6,1 г","1,2 г","39,9 г"
’леб ржаной из обойной муки,174 к ал,"6,6 г","1,2 г","33,4 г"
’леб ржаной из се€ной муки,210 к ал,"4,9 г",1 г,"44,8 г"
"’леб с бананом, на маргарине",326 к ал,"4,3 г","10,5 г","53,5 г"
"’леб с изюмом, обогащенный",274 к ал,"7,9 г","4,4 г",48 г
"’леб с изюмом, тосты, обогащенный",297 к ал,"8,6 г","4,8 г","52,2 г"
’леб чиабатта,262 к ал,"7,7 г","3,8 г","47,8 г"
"’леб, белковый, тосты (с глютеном)",270 к ал,"13,2 г","2,4 г","44,8 г"
"’леб, белый, промышленого изготовлени€, с низким содержанием натри€, без соли",267 к ал,"8,2 г","3,6 г","47,3 г"
"’леб, белый, промышленого изготовлени€, тосты,с низким содержанием натри€, без соли",293 к ал,9 г,4 г,"54,4 г"
"’леб, бостон коричневый, консервированный",195 к ал,"5,2 г","1,5 г","38,6 г"
"’леб, из цельного зерна, приготовленный по рецепту, тосты",305 к ал,"9,2 г","5,9 г","49,7 г"
"’леб, кукурузна€ мука, суха€ смесь, обогащенный",418 к ал,7 г,"12,2 г",63 г
"’леб, лаваш, белый, необогащенный",275 к ал,"9,1 г","1,2 г","53,5 г"
"’леб, молота€ пшеница",260 к ал,"8,7 г","3,9 г",44 г
"’леб, с изюмом, необогащенный",274 к ал,"7,9 г","4,4 г",48 г
"’леб, французский или венский (на закваске)",272 к ал,"10,75 г","2,42 г","49,68 г"
"’леб, французский или венский, тосты (на закваске)",319 к ал,13 г,"2,14 г","58,83 г"
"’лебные палочки, простые",412 к ал,12 г,"9,5 г","65,4 г"
"’лебные сухарики, кукурузна€ мука, приготовленный из сухой смеси",179 к ал,"2,9 г","8,8 г",19 г
"’лебные сухарики, кукурузна€ мука, суха€ смесь",389 к ал,10 г,"4,2 г","62,4 г"
"’лебные сухарики, хлеб из сухой смеси",386 к ал,11 г,"3,4 г",73 г
"’лебные сухарики, хлеб приготовленный из сухой смеси",195 к ал,"2,73 г","12,05 г","18,04 г"
’лебцы докторские (мука в/с и отруби пшеничные),242 к ал,"8,2 г","2,6 г","46,3 г"
Ўоколадный пирог с шоколадной глазурью,389 к ал,"3,48 г","20,05 г","50,64 г"
"Ўоколадный пирог, приготовленный по рецепту без глазури",371 к ал,"5,3 г","15,1 г","51,8 г"
"Ўоколадный пирог, суха€ смесь, пудинг",391 к ал,"4,6 г","8,14 г","77,86 г"
яичные рогалики,278 к ал,"10,6 г","2,1 г","50,7 г"
яичный хлеб,287 к ал,"9,5 г",6 г,"45,5 г"
"яичный хлеб, тосты",315 к ал,"10,5 г","6,6 г","50,1 г"
