ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
Ѕозбаш,"87,9 к ал","4,6 г","3,7 г","9,6 г"
Ѕрюква запеченна€,"51,1 к ал","2,1 г","1,6 г","7,5 г"
Ѕрюква тушена€,"113,5 к ал","1,2 г","8,5 г","8,6 г"
¬ареники ленивые (полуфабрикат),"248,2 к ал","13,7 г","14,9 г","15,9 г"
¬ареники ленивые отварные,"355,4 к ал","17,2 г","23,5 г",20 г
¬ареники с брусникой и €блоками по-уральски,"106,1 к ал","3,5 г","2,1 г","19,6 г"
¬ареники с капустой,"79,1 к ал","4,2 г","2,9 г","9,7 г"
"¬ареники с творожным, фруктовым или овощным фаршем","281,3 к ал","10,4 г","10,5 г","38,8 г"
¬олованы,435 к ал,"7,9 г","29,9 г","35,9 г"
¬олованы с икрой,"293,2 к ал","11,2 г","20,2 г","17,8 г"
¬олованы с курицей,"410,8 к ал","14,1 г","30,8 г","20,7 г"
¬олованы с окороком,"480,1 к ал","9,5 г","41,3 г","18,8 г"
¬олованы с салатом,"326,6 к ал","8,3 г",24 г,"20,5 г"
¬олованы с семгой или икрой,"333,6 к ал","12,1 г","24,3 г","17,9 г"
¬ым€ отварное в соусе,"70,7 к ал","5,7 г","5,2 г","0,3 г"
√алантин из рыбы,"145,1 к ал","15,6 г","7,4 г","4,3 г"
√ов€дина в кисло-сладком соусе,"354,9 к ал","26,1 г",22 г,"13,9 г"
√ов€дина в луковом соусе запеченна€,"178,5 к ал","12,2 г","11,4 г","7,3 г"
"√ов€дина, запеченна€ с макаронами","359,4 к ал","18,4 г","22,2 г","22,9 г"
"√ов€дина, тушенна€ с луком, орехами и чесноком (адыгейское национальное блюдо)","530,2 к ал","29,9 г","24,2 г","51,4 г"
"√ов€дина, фаршированна€ грибами","326,5 к ал","21,1 г","25,5 г","3,4 г"
√олубцы овощные,"190,9 к ал","3,4 г","16,7 г","7,3 г"
√орбуша в сливках,"129,5 к ал","8,8 г","9,5 г","2,4 г"
√ор€чий паштет из печени,"119,4 к ал","10,2 г","5,6 г","7,5 г"
√рибна€ запеканка,"145,2 к ал","4,7 г","10,1 г","9,5 г"
√рибна€ икра,"88,4 к ал","2,2 г","6,1 г","6,5 г"
√рибные пельмени,"185,8 к ал","5,5 г","13,3 г","11,8 г"
√рибные ушки,"341,7 к ал","17,2 г","20,4 г","23,8 г"
"√рибочки калевальские (рыба, фаршированна€ €йцом, - карельское национальное блюдо)","185,7 к ал","11,8 г","9,2 г","14,8 г"
√рибы в сметанном соусе,"204,2 к ал",5 г,"18,9 г","3,8 г"
√рибы в сметанном соусе,"230,5 к ал","4,8 г","21,8 г","3,9 г"
√рибы жареные,"162,1 к ал","4,6 г","11,5 г","10,7 г"
√рибы по-деревенски,"51,1 к ал","1,2 г","3,7 г","3,5 г"
√рибы по-сел€нски,180 к ал,"1,6 г","18,4 г","2,1 г"
√рибы с квашеной капустой,"138,9 к ал","2,8 г","10,9 г",8 г
√рибы с квашеной капустой,"58,7 к ал","1,8 г","4,6 г","2,6 г"
"√рудинка, фаршированна€ кашей","283,8 к ал","16,4 г","18,5 г","13,7 г"
√ул€ш,326 к ал,"24,9 г",22 г,"7,7 г"
√ул€ш с капустой,"81,3 к ал","5,9 г","5,4 г","2,5 г"
"√усь, утка фаршированные","437,2 к ал","14,5 г","38,1 г","9,6 г"
ƒраники,"69,3 к ал",3 г,"0,9 г",13 г
ƒрачена,"196,7 к ал","11,4 г","14,5 г","5,5 г"
ƒрочена,253 к ал,"7,7 г","22,3 г","5,8 г"
"≈да ""Ѕыстра€""","241,7 к ал","10,7 г","6,7 г","36,9 г"
≈жики сибирские,"184,7 к ал","10,1 г","9,6 г","15,5 г"
∆ал-баур (шашлык из печени - кабардино-балкарское национальное блюдо),"383,5 к ал","10,4 г","36,4 г","3,8 г"
∆арена€ курица и бульон,212 к ал,"15,8 г","15,8 г","1,7 г"
∆арена€ рыба под маринадом,"215,4 к ал","19,5 г","11,4 г","9,4 г"
∆аренный картофель с колбасой,"83,9 к ал","2,8 г","5,4 г","6,5 г"
"∆аркое ""¬кусное""","179,4 к ал","11,2 г","6,9 г","19,4 г"
"∆аркое "" азань"" (жаркое с черносливом - татарское национальное блюдо)","227,6 к ал","12,8 г","14,6 г","11,9 г"
∆аркое из кролика (зайчатины),"182,1 к ал","13,5 г","12,9 г","3,2 г"
∆аркое из курицы по-русски,"368,8 к ал","15,4 г","30,1 г","9,6 г"
∆аркое из свинины,"233,1 к ал","10,6 г","20,9 г","0,7 г"
∆аркое из субпродуктов по-ингушски,"121,3 к ал",16 г,"3,3 г","7,3 г"
∆аркое из фаршированной свинины,102 к ал,"3,3 г","6,7 г","7,6 г"
∆аркое из цыпл€т и субпродуктов кур,"280,9 к ал","14,6 г","21,7 г","7,2 г"
∆аркое по-гусарски,"153,6 к ал","13,4 г","9,8 г","3,1 г"
∆аркое по-домашнему,248 к ал,"16,2 г","13,8 г","15,7 г"
∆аркое с грибами по-русски,"205,4 к ал","11,2 г","13,8 г","9,8 г"
«апеканка из икры частиковых рыб (национальное блюдо народов —евера),"122,8 к ал","8,3 г","5,1 г","11,7 г"
«апеканка из кабачков,"142,3 к ал","5,2 г","12,1 г","3,3 г"
«апеканка из лапши со смородиной,"164,4 к ал","4,5 г","6,1 г","24,3 г"
«апеканка из макарон с творогом,"241,8 к ал","11,6 г","9,2 г",30 г
«апеканка из отварного картофел€,133 к ал,"2,8 г","10,5 г","7,2 г"
«апеканка из риса с ревенем,"155,3 к ал","3,3 г","6,2 г","23,1 г"
«апеканка из спаржи и риса,"137,5 к ал","2,7 г","9,2 г","11,7 г"
«апеканка из творога,"299,7 к ал","12,4 г","20,8 г","16,7 г"
«апеканка из творога и гречневой крупы,"168,3 к ал","7,2 г","7,3 г","19,6 г"
«апеканка из тыквы,"227,8 к ал","4,4 г","12,9 г",25 г
«апеканка из цветной капусты с сыром,"160,7 к ал","6,4 г","12,3 г","6,6 г"
«апеканка из черного хлеба,"180,3 к ал","2,3 г","11,6 г","17,9 г"
«апеканка из €блок,"147,7 к ал","0,3 г",8 г,"19,9 г"
«апеканка капустна€,"161,6 к ал","6,8 г","12,9 г","4,9 г"
«апеканка картофельна€ или рулет картофельный с м€сом или субпродуктами,"180,3 к ал","10,6 г","9,9 г","13,1 г"
«апеканка морковна€ с творогом и без творога,"192,6 к ал","6,9 г","13,4 г",12 г
«апеканка овощна€,90 к ал,3 г,"6,7 г","4,8 г"
«апеканка рисова€ с творогом,"200,3 к ал","4,5 г","8,8 г","27,4 г"
"«апеканка рисова€, манна€, пшенна€, пшенична€","147,8 к ал","3,3 г","6,3 г","20,8 г"
«апеканка со свежими плодами,"157,8 к ал",3 г,"2,6 г","32,6 г"
«апеченна€ маринованна€ курица,"201,9 к ал","10,3 г","16,8 г","2,6 г"
«апеченна€ цветна€ капуста,99 к ал,"3,8 г","7,9 г","3,4 г"
«апеченные творожные клецки,"214,1 к ал",10 г,17 г,"5,6 г"
«а€чьи шкурки,"35,9 к ал","1,6 г","0,5 г","6,6 г"
«разы донские,"337,1 к ал","19,1 г","11,3 г","42,5 г"
«разы картофельные,"189,7 к ал","4,5 г","12,4 г",16 г
"«разы картофельные с фаршем из пасты ""ќкеан""","174,8 к ал","5,5 г","10,7 г",15 г
«разы отбивные,"266,2 к ал","24,4 г","15,2 г","8,5 г"
«разы рубленые,"303,4 к ал","18,1 г","20,7 г","11,9 г"
«разы рыбные с черносливом по-российски,122 к ал,"13,8 г","3,4 г","9,7 г"
»мам баилди,"153,2 к ал","8,2 г","11,7 г","4,2 г"
»мбирно-медовый цыпленок,"193,1 к ал","14,5 г","11,1 г","9,5 г"
»ндейка с грибами,"221,4 к ал","10,5 г","11,9 г","19,3 г"
" абачки и цветна€ капуста, запеченные под соусом","179,7 к ал","2,8 г",16 г,"6,6 г"
 абачки с помидорами,"104,4 к ал","1,3 г","8,1 г","7,1 г"
 абачки улыбаютс€,"57,5 к ал","1,4 г","2,9 г","6,9 г"
 абачки фаршированные в томатном соку,"47,1 к ал","1,6 г","0,4 г",10 г
 абачки фаршированные м€сом,"115,9 к ал","5,5 г","8,8 г","3,9 г"
" абачки, баклажаны, перец или помидоры, фаршированные м€сом или рисом","154,9 к ал",10 г,"8,6 г",10 г
 алаатикко (из картофел€),"119,4 к ал",4 г,"8,4 г","7,5 г"
 алитки картофельные,"157,1 к ал","3,4 г","8,1 г","18,9 г"
 альмары жареные,"174,6 к ал","9,9 г","14,4 г","1,4 г"
 апуста отварна€ с маслом или соусом,92 к ал,"1,7 г","7,8 г","4,1 г"
 апуста по-охотничьи,"65,8 к ал","2,3 г","2,4 г","9,5 г"
 апуста со сметаной в горшочке,"119,4 к ал","1,6 г","11,3 г","2,9 г"
 апуста тушена€,"102,2 к ал","2,7 г","5,9 г","10,2 г"
 апуста тушена€,"99,3 к ал","2,6 г","5,8 г","9,8 г"
 апуста тушена€ с грибами,"132,1 к ал","8,1 г","7,8 г","7,9 г"
" апуста, тушенна€ с лимонным соком","79,6 к ал","1,1 г","5,2 г","7,6 г"
" апуста, тушенна€ со свеклой","56,4 к ал","1,7 г","2,4 г","7,4 г"
 апустные котлеты,"99,4 к ал","6,4 г","3,5 г","11,3 г"
 апустные рулетики,160 к ал,"3,1 г","15,4 г","2,4 г"
 апустный пирог,158 к ал,"4,3 г","12,7 г",7 г
 арп по-австрийски,"150,1 к ал","11,7 г","10,9 г","1,4 г"
" артофельные котлеты, запеченные под соусом грибным или сметанным соусом","228,9 к ал","4,1 г",19 г,11 г
 артофельные лепешки (национальное блюдо республики  оми),"182,7 к ал","4,7 г","7,2 г","26,5 г"
 артофельные оладьи с сыром,178 к ал,"5,4 г","11,6 г","13,8 г"
 артофельные оладьи со свежей капустой,"185,3 к ал","3,7 г","13,5 г",13 г
 артофельный хворост,"227,9 к ал","5,3 г","11,5 г","27,5 г"
 езан-кебаб,"128,3 к ал","5,5 г","8,5 г",8 г
 ильки с картофельным салатом и €йцом,"114,6 к ал","6,9 г","6,1 г","8,6 г"
 иприана,"294,3 к ал","15,6 г","24,9 г","2,1 г"
 исло-сладка€ капуста,"75,7 к ал","1,5 г","5,3 г",6 г
 ольраби с томатным соусом,"80,6 к ал","4,9 г","4,6 г","5,3 г"
" ольраби, тушенна€ с морковью","65,6 к ал","3,5 г","4,1 г","3,9 г"
 орнетики с муссом ветчины,"287,1 к ал","18,5 г","23,3 г","0,9 г"
" отлета ""јленушкина загадка""",263 к ал,"8,8 г","24,8 г","1,3 г"
 отлетки по-приморски,"151,9 к ал",13 г,"8,8 г","5,6 г"
 отлеты,"227,4 к ал","10,1 г","19,4 г","3,3 г"
" отлеты ""÷ентраль""","203,1 к ал","10,9 г","15,5 г","5,4 г"
 отлеты гороховые,236 к ал,"13,3 г","10,4 г","23,7 г"
 отлеты из брюквы,"99,3 к ал","3,1 г","5,6 г","9,6 г"
 отлеты из кабачков с творогом,"122,5 к ал",5 г,"7,9 г","8,3 г"
 отлеты из овощей,"187,6 к ал","3,3 г","13,3 г","14,5 г"
 отлеты из свинины по-сарански (мордовское национальное блюдо),"571,6 к ал","14,2 г","52,9 г","10,4 г"
" отлеты из филе птицы или дичи, панированные жареные","403,7 к ал","25,1 г","20,4 г",32 г
 отлеты или биточки рыбные,"168,1 к ал","8,1 г","8,4 г","16,1 г"
 отлеты капустно-морковные,198 к ал,"4,5 г","14,1 г","14,2 г"
 отлеты капустные,191 к ал,"4,9 г","13,8 г","12,7 г"
 отлеты картофельные,"189,2 к ал","3,7 г","12,9 г","15,6 г"
 отлеты морковные,"206,2 к ал","4,1 г","14,5 г","15,9 г"
 отлеты м€со-картофельные по-хлыновски,"342,9 к ал","20,8 г","26,1 г","6,7 г"
 отлеты натуральные,"438,2 к ал",29 г,"35,8 г","0,04 г"
 отлеты натуральные из филе птицы или дичи под соусом паровым с грибами,"312,2 к ал","13,3 г",16 г,"30,6 г"
" отлеты натуральные из филе птицы, дичи или кролика с гарниром","301,7 к ал","11,7 г","22,8 г","13,1 г"
 отлеты натуральные паровые,"209,8 к ал","8,8 г","19,4 г","0,008 г"
 отлеты натуральные рубленые,"490,5 к ал",23 г,"44,3 г",0 г
 отлеты отбивные,"505,2 к ал","18,2 г","43,5 г","10,7 г"
 отлеты по-гречески,"178,1 к ал","6,4 г","6,7 г","24,6 г"
 отлеты по-киевски,"444,7 к ал","21,6 г","27,8 г","28,8 г"
 отлеты полтавские (украинское национальное блюдо),"465,7 к ал","27,8 г","36,7 г","6,3 г"
" отлеты рубленые из кур, кролика, запеченные с соусом молочным","301,8 к ал","17,7 г","15,8 г","23,7 г"
" отлеты рубленые из птицы, дичи или кролика с гарниром","328,4 к ал","12,3 г","12,9 г","43,6 г"
" отлеты рубленые, запеченные с молочным соусом","285,3 к ал","16,2 г",21 г,"8,4 г"
 отлеты рыбные любительские,"148,2 к ал","10,5 г","8,5 г",8 г
 отлеты рыбные с капустой и морковью,"288,7 к ал","20,8 г","20,9 г","4,6 г"
 отлеты рыбные с омлетом и сыром,"322,6 к ал",15 г,"26,2 г","7,3 г"
 отлеты свекольные,"153,5 к ал","3,8 г",9 г,"15,2 г"
" отлеты, биточки из рыбы и пасты ""ќкеан""",362 к ал,"11,7 г",10 г,"59,9 г"
" отлеты, биточки, шницели","317,7 к ал","21,3 г","20,9 г","11,8 г"
 рабы с €йцом,"251,2 к ал","16,7 г","19,9 г","1,3 г"
 расна€ капуста,73 к ал,"1,1 г","5,2 г","5,9 г"
" раснокочанна€ капуста, тушенна€ с €блоками","44,1 к ал","0,6 г",1 г,"8,7 г"
 реветки с соусом,"211,3 к ал","26,5 г","7,5 г","10,1 г"
" реветки, запеченные под сметанным или молочным соусом","175,7 к ал","15,1 г","7,8 г","11,9 г"
 рокеты картофельные,"187,3 к ал","4,2 г",13 г,"14,2 г"
 рокеты картофельные,"207,5 к ал","4,3 г","13,6 г","18,2 г"
 рокеты картофельные,"239,7 к ал","4,3 г","20,2 г","10,9 г"
 ролик в маринаде,"194,5 к ал","15,7 г","11,5 г","7,6 г"
 ролик по-любительски,455 к ал,"15,4 г",26 г,"42,3 г"
 ролик под ореховым соусом,"205,4 к ал","8,1 г","17,1 г","5,2 г"
 урзе с зеленью (пельмени с фаршем из зелени - дагестанское национальное блюдо),"162,8 к ал","6,2 г","5,1 г","24,7 г"
" уриное филе, фаршированное грибами","226,2 к ал","13,4 г",19 г,"0,5 г"
 уриные грудки с соусом из грецких орехов,"227,2 к ал","11,8 г","15,6 г","10,6 г"
 уриные колбаски с жареным картофелем,"141,9 к ал","6,4 г","7,8 г","12,3 г"
 урица по-купечески,"127,9 к ал",7 г,"9,9 г","2,8 г"
 урица почти в сметане,"338,8 к ал","7,3 г","33,6 г","1,9 г"
 урица фаршированна€ (галантин) или поросенок фаршированный,"325,3 к ал","12,5 г","27,6 г","7,1 г"
" урица, жаренна€ целиком","133,8 к ал","8,5 г","9,3 г","4,3 г"
" урица, тушЄнна€ с картофелем и помидорами",123 к ал,"5,6 г",9 г,"5,1 г"
Ћангет,"381,3 к ал","33,2 г","27,6 г",0 г
Ћук маринованный,"82,2 к ал","1,4 г",5 г,"8,5 г"
Ћук порей с грибами,"58,3 к ал","2,4 г","3,6 г","4,3 г"
Ћук-порей со свининой,"207,5 к ал",6 г,"15,6 г","11,5 г"
"Ћук, жареный во фритюре","239,7 к ал","4,8 г",14 г,"25,3 г"
Ћуковый клопс,"181,4 к ал","11,4 г","13,3 г","4,2 г"
Ћюл€-кебаб (азербайджанское национальное блюдо),"338,7 к ал","20,1 г","24,6 г","9,9 г"
ћакароны с €йцом,"114,9 к ал","3,1 г","7,5 г","9,4 г"
ћанты с бараниной (казахское национальное блюдо),"204,9 к ал","11,7 г","10,3 г","17,6 г"
ћанты с тыквой,"247,7 к ал",3 г,18 г,"19,7 г"
ћасса из рыбы гор€чего копчени€,"340,1 к ал","22,3 г","27,8 г","0,3 г"
ћинестроне,"66,8 к ал","4,2 г","3,4 г","5,3 г"
"ћозги, запеченные на гренках","219,6 к ал","9,8 г","12,1 г","19,2 г"
ћорепродукты под майонезом,"472,2 к ал",39 г,"34,7 г",1 г
ћорковь в формочках,"74,4 к ал","2,1 г","5,3 г","4,8 г"
ћорковь глазированна€,"146,3 к ал",1 г,"6,8 г","21,6 г"
ћорковь с зеленым горошком в молочном соусе,"184,8 к ал","7,4 г","8,9 г","19,9 г"
ћорковь тушена€,108 к ал,"0,9 г","8,9 г","6,4 г"
ћорковь тушена€ с рисом и черносливом,"174,6 к ал","2,6 г","7,1 г","26,6 г"
"ћорковь, тушенна€ в сметанном соусе","152,4 к ал","2,4 г","11,3 г","10,9 г"
"ћорковь, тушенна€ с репчатым луком","57,6 к ал","1,9 г","2,5 г","7,4 г"
"ћорковь, тушенна€ с рисом","130,8 к ал","1,7 г","8,1 г","13,7 г"
"ћорковь, тушенна€ с черносливом или €блоками","146,6 к ал","2,2 г","5,1 г","24,7 г"
ћорской гребешок или креветки заливные,222 к ал,"23,6 г","13,7 г","1,2 г"
ћорской гребешок отварной с соусом,159 к ал,"16,9 г","6,2 г","9,4 г"
"ћ€со ""ѕальчики оближешь""","269,4 к ал","9,8 г","24,7 г","2,1 г"
ћ€со в горшочке,"57,9 к ал","1,9 г","3,8 г","4,3 г"
ћ€со в шубе,"273,5 к ал","11,8 г","24,6 г","1,4 г"
ћ€со отварное,"307,2 к ал","34,1 г","18,6 г","0,9 г"
ћ€со по-корейски,"173,5 к ал","3,1 г","15,7 г","5,4 г"
ћ€со по-французски,"264,6 к ал",10 г,23 г,"4,6 г"
ћ€со с курагой,"181,6 к ал","10,1 г","10,6 г","12,3 г"
ћ€со с овощами по-индонезийски,"174,7 к ал","5,1 г",11 г,"14,7 г"
ћ€со тушеное,"252,3 к ал","17,3 г",9 г,"27,3 г"
ћ€со шпигованное,174 к ал,"17,6 г","9,2 г","5,6 г"
"ћ€со, жаренное крупным куском","399,3 к ал",35 г,"28,8 г",0 г
"ћ€со, жаренное крупным куском, шпигованное","391,5 к ал","32,6 г",29 г,0 г
"ћ€со, тушенное с луком в горшочке","293,2 к ал","15,9 г","9,7 г","37,9 г"
ќвощи в молочном соусе (1-й вариант),"120,8 к ал","5,6 г","3,7 г","17,5 г"
ќвощи отварные с жиром,"90,5 к ал","1,9 г",6 г,"7,5 г"
"ќвощи, припущенные в молочном или сметанном соусе","232,1 к ал","4,7 г","17,9 г","13,8 г"
"ќвощи, припущенные с жиром","109,2 к ал","2,1 г",6 г,"12,4 г"
ќвощное рагу с шампиньонами,"73,2 к ал","1,1 г",6 г,"3,9 г"
ќладьи из капусты с сыром,"213,2 к ал","5,6 г","19,3 г","4,6 г"
ќладьи из печени,"229,1 к ал","20,2 г","14,2 г","5,4 г"
ќмлет из взбитых сливок,"256,8 к ал","6,4 г","14,8 г","26,2 г"
ќмлет натуральный,"221,9 к ал","12,2 г","18,4 г","1,9 г"
ќмлет натуральный,128 к ал,"8,7 г","9,2 г","2,7 г"
ќмлет с сыром,342 к ал,"16,3 г","29,7 г","2,6 г"
"ќмлет, смешанный с м€сными продуктами","351,4 к ал","17,3 г","30,5 г","2,1 г"
"ќсетрина, белуга, севрюга, сом с гарниром","132,6 к ал",12 г,8 г,"3,3 г"
ќстрый рис с помидорами,"128,4 к ал","2,9 г","4,1 г","21,2 г"
ќхотничье блюдо,"114,2 к ал","4,9 г","7,9 г","6,4 г"
ѕалочки из оленины (национальное блюдо народов —евера),"527,1 к ал","21,8 г","47,8 г","2,5 г"
ѕампушки с чесноком,"215,3 к ал","5,8 г","3,9 г","41,9 г"
ѕаста Ќаполитана,"289,6 к ал","4,2 г","21,5 г",21 г
ѕаста сырна€,"555,2 к ал","14,8 г","54,2 г","2,3 г"
ѕаштет из печени,"294,5 к ал",14 г,26 г,"1,1 г"
ѕаштет из фасоли,"330,5 к ал",13 г,"20,9 г",24 г
ѕаштет рыбный,"276,4 к ал","20,5 г","21,5 г","0,3 г"
"ѕельмени ""ћосковские""",279 к ал,14 г,"14,6 г","24,6 г"
ѕельмени из гов€дины и свинины,"276,9 к ал","13,4 г",12 г,"30,7 г"
ѕельмени м€сные,245 к ал,"15,5 г",8 г,"29,7 г"
ѕельмени по-мордовски,"249,3 к ал","8,9 г","14,2 г",23 г
ѕельмени рыбные (полуфабрикат),"209,2 к ал","14,9 г","6,7 г","23,9 г"
"ѕельмени рыбные, запеченные в горшочке","377,5 к ал","20,9 г","20,2 г","29,9 г"
ѕельмени со свининой и свежей капустой,"268,5 к ал","10,2 г","12,9 г","29,7 г"
ѕельмени старорусские с субпродуктами,"265,2 к ал","15,1 г","13,7 г","21,8 г"
"ѕельмени, запеченные в сметане","616,6 к ал","25,7 г",40 г,"41,1 г"
ѕерец с грибами,"73,4 к ал","2,1 г","5,7 г","3,5 г"
"ѕерец, фаршированный брынзой или сыром с €йцом (карачаево-черкесское национальное блюдо)","175,2 к ал","8,4 г","14,3 г","3,4 г"
"ѕерец, фаршированный овощами и рисом","131,8 к ал","2,7 г","8,9 г",11 г
ѕеченка в сметане,"184,7 к ал","8,9 г","14,6 г","4,7 г"
ѕеченочный паштет,"306,7 к ал","7,3 г","22,2 г","20,7 г"
ѕечень в сметанном соусе,"112,2 к ал","4,1 г",9 г,"4,1 г"
ѕечень по Ѕерлински,"118,2 к ал","8,1 г","6,4 г","7,6 г"
ѕечень по ёжноамерикански,"139,8 к ал","14,2 г","9,2 г",0 г
"ѕечень по-деревенски (печень, запеченна€ в €йце, - татарское национальное блюдо)",182 к ал,"16,5 г",11 г,"4,6 г"
ѕечень по-строгановски,347 к ал,"16,3 г","29,1 г","5,3 г"
ѕечень по-строгановски,"211,8 к ал",6 г,19 г,"4,4 г"
ѕечень по-шадрински,"84,8 к ал",11 г,"2,6 г","4,7 г"
ѕечень с грибами,"251,3 к ал","21,6 г","17,3 г","2,5 г"
"ѕечень, жаренна€ с жиром или луком","300,3 к ал","23,7 г","21,2 г","3,9 г"
"ѕечень, тушенна€ в соусе","362,4 к ал","12,3 г","18,2 г","39,8 г"
"ѕеченье ""ѕлаточки""","302,2 к ал","8,9 г","19,5 г","24,2 г"
ѕоджарка,"357,6 к ал","26,1 г","26,1 г","4,9 г"
ѕоджарка из рыбы,"276,4 к ал","15,2 г",20 г,"9,5 г"
ѕомидоры жареные,"55,6 к ал","0,8 г","4,2 г",4 г
"ѕомидоры, фаршированные грибами",58 к ал,"1,6 г","4,1 г","3,9 г"
"ѕомидоры, фаршированные овощами и рисом",118 к ал,"2,3 г","7,6 г","10,8 г"
"ѕомидоры, фаршированные творогом","91,5 к ал","5,4 г","6,1 г","4,1 г"
"ѕомидоры, фаршированные €йцом и луком","95,4 к ал","3,1 г","7,7 г","3,8 г"
ѕоросенок отварной с хреном,"194,8 к ал","20,5 г","8,6 г","9,5 г"
ѕоросенок фаршированный,"120,3 к ал","16,5 г","5,7 г","0,6 г"
ѕочки жареные с помидорами или лимонным соком,"237,9 к ал","19,8 г","15,6 г","4,8 г"
ѕочки по-русски,"116,4 к ал","8,7 г","5,3 г","9,1 г"
ѕочки с грибами в соусе красном с вином,"154,7 к ал","12,8 г","9,8 г","4,1 г"
ѕтица или дичь под паровым соусом с грибами и рисом,322 к ал,"14,4 г","15,4 г","33,5 г"
ѕтица или кролик жареные,"508,3 к ал","31,2 г",42 г,"1,3 г"
"ѕтица или кролик, тушенные в соусе","265,5 к ал","17,5 г","19,1 г","6,2 г"
"ѕтица, дичь или кролик отварные с гарниром","335,8 к ал",16 г,"13,7 г","39,6 г"
"ѕтица, дичь или кролик по-столичному","396,2 к ал","22,9 г","21,2 г","30,3 г"
–агу из баранины или свинины,"225,6 к ал","11,2 г","13,3 г","16,2 г"
–агу из грибов с €йцами,"87,8 к ал","7,3 г","4,4 г","5,1 г"
–агу из овощей,"147,2 к ал","4,5 г","7,9 г","15,4 г"
–агу из овощей,"57,3 к ал","1,2 г",3 г,"6,9 г"
"–агу из птицы, дичи, кролика или субпродуктов","246,2 к ал","14,1 г","16,4 г","11,2 г"
–агу овощное (1-й вариант),"125,9 к ал","4,7 г","5,2 г","16,1 г"
–агу овощное (2-й вариант),"107,7 к ал",3 г,"5,3 г","12,7 г"
"–епа или кабачки, фаршированные овощами и рисом","157,8 к ал","4,8 г","10,2 г","12,6 г"
"–епа, фаршированна€ грибами","189,9 к ал",5 г,"13,1 г","13,8 г"
–ис в капустных листь€х с м€сным фаршем,"38,4 к ал","1,4 г","1,1 г","6,2 г"
–ис запеченый,"361,2 к ал","10,9 г","23,5 г","28,3 г"
–ис припущенный,"163,6 к ал","5,7 г","6,1 г","22,9 г"
–ис припущенный с томатом,"208,4 к ал","8,3 г","7,7 г","28,3 г"
–омштекс,"395,3 к ал","26,9 г","27,4 г","11,1 г"
–омштексы,"212,8 к ал","13,2 г","17,7 г","0,2 г"
–улет из баранины по-башкирски,"190,5 к ал","14,5 г","11,4 г","7,9 г"
–улет из гов€дины,"387,3 к ал","32,5 г","28,1 г","1,3 г"
–улет из курицы со свининой и черносливом,281 к ал,"18,5 г","19,6 г","8,2 г"
–улет из печени с €блоками,"124,3 к ал","6,2 г","9,8 г","3,1 г"
–улет из рыбы,"159,6 к ал","10,6 г","7,4 г","13,5 г"
–улет или запеканка  картофельные с овощами или овощами и грибами,"128,8 к ал","4,3 г","6,1 г","15,2 г"
